"Gender","Observed_OTUs_Mean","Observed_OTUs_SD","Observed_OTUs_Median","Shannon_Diversity_Mean","Shannon_Diversity_SD","Shannon_Diversity_Median","Inverse_Simpson_Mean","Inverse_Simpson_SD","Inverse_Simpson_Median","N"
"Female",126.519038076152,41.2481122639316,123,4.41186824048096,0.728592944695811,4.475087,0.882599634268537,0.0757618930470334,0.9043374,499
"Male",136.967741935484,46.9278294782244,134,4.61717964717742,0.694583598025088,4.677804,0.899266130040323,0.0620094500365243,0.91468425,496
