"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus1152","Alishewanella","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1154","Idiomarina","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1155","Moritella","Proteobacteria",2.08895836485429e-05,4.57556527101212e-05,-0.25401179868196,-0.238887298915277,FALSE
"RSV_genus1156","Paramoritella","Proteobacteria",1.24161611947918e-05,4.57556527101212e-05,-0.249270284569563,-0.226528449442519,FALSE
"RSV_genus1158","Pseudoalteromonas","Proteobacteria",3.74851714611513e-05,4.82953143658358e-05,-0.250994220585535,-0.242530648090362,FALSE
"RSV_genus1159","Psychromonas","Proteobacteria",3.43563007928127e-05,4.6819484530566e-05,-0.249744719356976,-0.242530648090362,FALSE
"RSV_genus1160","Shewanella","Proteobacteria",2.67244685893875e-06,4.57556527101212e-05,-0.234928345325142,-0.190530961600898,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",3.32120449841545e-06,4.57556527101212e-05,2.4266326870596,2.08043137279667,TRUE
"RSV_genus1163","Cellvibrio","Proteobacteria",3.18185980500257e-05,4.57556527101212e-05,-0.253211644065304,-0.242530648090362,FALSE
"RSV_genus1164","Simiduia","Proteobacteria",4.19841396424299e-05,5.13494230100695e-05,-0.249805863341391,-0.235419418061643,FALSE
"RSV_genus1165","C1-B045","Proteobacteria",3.70268394027422e-05,4.79166914575817e-05,-0.251714603328169,-0.242530648090362,FALSE
"RSV_genus1167","Nitrosococcus","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1168","Rheinheimera","Proteobacteria",1.18293668881482e-05,4.57556527101212e-05,-0.244747283375062,-0.210991852854806,FALSE
"RSV_genus1170","Thiogranum","Proteobacteria",1.74457552794215e-05,4.57556527101212e-05,-0.25401179868196,-0.238732524886819,FALSE
"RSV_genus1173","Buchnera","Proteobacteria",3.19145569962412e-05,4.57556527101212e-05,-0.25239824558697,-0.242530648090362,FALSE
"RSV_genus1174","Candidatus Blochmannia","Proteobacteria",8.0870099122106e-05,9.25737196356254e-05,-0.204110782659078,-0.190197229987856,FALSE
"RSV_genus1175","Candidatus Carsonella","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1176","Candidatus Nasuia","Proteobacteria",6.25171618081335e-05,7.28611849575469e-05,-0.244577968354571,-0.237288881931933,FALSE
"RSV_genus1177","Cedecea","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1178","Citrobacter","Proteobacteria",1.20130398726871e-05,4.57556527101212e-05,-0.247367980593034,-0.225779229016559,FALSE
"RSV_genus1179","Dickeya","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1180","Erwinia","Proteobacteria",3.13985127853407e-05,4.57556527101212e-05,-0.253002115971749,-0.242530648090362,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.00149678769459703,0.00161928265166607,0.416824339319275,0.431609948947267,FALSE
"RSV_genus1182","Ewingella","Proteobacteria",7.44140204679511e-05,8.54727590375067e-05,-0.217795903645671,-0.207055540978822,FALSE
"RSV_genus1183","Hafnia","Proteobacteria",2.527637789573e-05,4.57556527101212e-05,-0.25401179868196,-0.235328757258112,FALSE
"RSV_genus1184","Leminorella","Proteobacteria",3.16331068225574e-05,4.57556527101212e-05,-0.252587172678526,-0.242530648090362,FALSE
"RSV_genus1185","Lonsdalea","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1186","Morganella","Proteobacteria",4.58628207107849e-05,5.48421585946808e-05,-0.250616434859206,-0.242530648090362,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",2.13707403918001e-05,4.57556527101212e-05,-0.146145245449228,-0.120720807850757,FALSE
"RSV_genus1189","Pectobacterium","Proteobacteria",3.24673693256515e-05,4.57556527101212e-05,-0.253425696019019,-0.242530648090362,FALSE
"RSV_genus1190","Plesiomonas","Proteobacteria",2.20565433742787e-05,4.57556527101212e-05,-0.25201593600048,-0.237338475004184,FALSE
"RSV_genus1191","Proteus","Proteobacteria",1.18711744337934e-05,4.57556527101212e-05,-0.248936080232577,-0.221509438050233,FALSE
