"OTU","Genus","Phylum","p_value","p_adj_BH","control","Denture","in_top_panel"
"RSV_genus81","Angustibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",0.0210730565547462,0.0277190580245246,-0.222513528486094,-0.211244755905151,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",0.0202966778028048,0.0277190580245246,-0.218827529130672,-0.211244755905151,FALSE
"RSV_genus87","Georgenia","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",0.0120621868265666,0.0277190580245246,-0.209054842928297,-0.148900648647967,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",0.0200365918914587,0.0277190580245246,-0.222098500835043,-0.211244755905151,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",0.0195960446908608,0.0277190580245246,-0.22326384854529,-0.211244755905151,FALSE
"RSV_genus92","Demequina","Actinobacteria",0.0193839856094637,0.0277190580245246,-0.223061663339975,-0.211244755905151,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",0.0173621594661847,0.0277190580245246,-0.218844525639202,-0.111529556275871,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",0.0217526407829688,0.0277190580245246,-0.220338262771151,-0.211244755905151,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",0.0200055779048927,0.0277190580245246,-0.224160364435996,-0.211244755905151,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus100","Arsenicicoccus","Actinobacteria",0.0212357530239577,0.0277190580245246,-0.220193059201948,-0.211244755905151,FALSE
"RSV_genus101","Janibacter","Actinobacteria",0.0106281815262719,0.0277190580245246,-0.207196001312075,-0.148091175889927,FALSE
"RSV_genus102","Knoellia","Actinobacteria",0.00422261661026598,0.0277190580245246,-0.220326020309444,-0.101171892226235,FALSE
"RSV_genus104","Ornithinibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus105","Ornithinimicrobium","Actinobacteria",0.020496308233785,0.0277190580245246,-0.221051804377381,-0.211244755905151,FALSE
"RSV_genus106","Phycicoccus","Actinobacteria",0.0203490469786979,0.0277190580245246,-0.224160364435996,-0.211244755905151,FALSE
"RSV_genus107","Serinicoccus","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus108","Terrabacter","Actinobacteria",0.0201818793278801,0.0277190580245246,-0.22369377627937,-0.211244755905151,FALSE
"RSV_genus109","Tetrasphaera","Actinobacteria",0.0197691929375247,0.0277190580245246,-0.224559183297077,-0.211244755905151,FALSE
"RSV_genus110","Agromyces","Actinobacteria",0.0201195010994026,0.0277190580245246,-0.224430792300924,-0.211244755905151,FALSE
"RSV_genus111","Candidatus Limnoluna","Actinobacteria",0.0203490469786979,0.0277190580245246,-0.222556168285952,-0.211244755905151,FALSE
"RSV_genus112","Candidatus Rhodoluna","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus113","Clavibacter","Actinobacteria",0.0203700276303328,0.0277190580245246,-0.21929585373583,-0.211244755905151,FALSE
"RSV_genus114","Cryobacterium","Actinobacteria",0.0190350081195623,0.0277190580245246,-0.222497319696125,-0.184854182608998,FALSE
"RSV_genus115","Curtobacterium","Actinobacteria",0.0082163220562997,0.0277190580245246,-0.222780677857861,-0.148163771490055,FALSE
"RSV_genus116","Frondihabitans","Actinobacteria",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.142680136059205,FALSE
"RSV_genus117","Gryllotalpicola","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus118","Herbiconiux","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus119","Leifsonia","Actinobacteria",0.0199849251999033,0.0277190580245246,-0.224237194926574,-0.211244755905151,FALSE
"RSV_genus120","Leucobacter","Actinobacteria",0.0201195010994026,0.0277190580245246,-0.224237194926574,-0.211244755905151,FALSE
"RSV_genus121","Lysinimonas","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus122","Marisediminicola","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus123","Microbacterium","Actinobacteria",0.021138004357226,0.0277190580245246,-0.222280234407781,-0.211244755905151,FALSE
"RSV_genus124","Microcella","Actinobacteria",0.0203385637237462,0.0277190580245246,-0.223633154578761,-0.211244755905151,FALSE
"RSV_genus126","Pseudoclavibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus127","Schumannella","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus128","Arthrobacter","Actinobacteria",0.0215644310415709,0.0277190580245246,-0.219226158014254,-0.211244755905151,FALSE
"RSV_genus129","Auritidibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus130","Citricoccus","Actinobacteria",0.00528470167623491,0.0277190580245246,-0.220303612579123,-0.0839773590718804,FALSE
"RSV_genus131","Kocuria","Actinobacteria",0.00326274780047596,0.0277190580245246,-0.189588327100072,0.0427166882821659,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.0161420966160845,0.0277190580245246,-0.154621845177501,-0.133149342658616,FALSE
"RSV_genus134","Nesterenkonia","Actinobacteria",0.0073184464489068,0.0277190580245246,-0.205234141304031,-0.0895346033680029,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.792373714847052,0.797331214627117,8.32835305148253,8.1326811185152,FALSE
"RSV_genus136","Sinomonas","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus137","Zhihengliuella","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus139","Cellulosimicrobium","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus140","Isoptericola","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus142","Promicromonospora","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus143","Rarobacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus144","Sanguibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus145","Actinoplanes","Actinobacteria",0.0212466382532776,0.0277190580245246,-0.216433001882522,-0.211244755905151,FALSE
"RSV_genus146","Asanoa","Actinobacteria",0.0203176113469505,0.0277190580245246,-0.221740021195013,-0.211244755905151,FALSE
"RSV_genus147","Catellatospora","Actinobacteria",0.0199127872190956,0.0277190580245246,-0.223504763582608,-0.211244755905151,FALSE
"RSV_genus148","Catenuloplanes","Actinobacteria",0.0209544370659733,0.0277190580245246,-0.218755783421144,-0.211244755905151,FALSE
"RSV_genus149","Dactylosporangium","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus150","Longispora","Actinobacteria",0.0203490469786979,0.0277190580245246,-0.224325889218764,-0.211244755905151,FALSE
"RSV_genus151","Micromonospora","Actinobacteria",0.0203385637237462,0.0277190580245246,-0.222888202238373,-0.211244755905151,FALSE
"RSV_genus153","Plantactinospora","Actinobacteria",0.0202966778028048,0.0277190580245246,-0.21870118300204,-0.211244755905151,FALSE
"RSV_genus154","Stackebrandtia","Actinobacteria",0.0203490469786979,0.0277190580245246,-0.223311166208257,-0.211244755905151,FALSE
"RSV_genus155","Verrucosispora","Actinobacteria",0.00762062319545572,0.0277190580245246,-0.225356821019241,-0.180334331371567,FALSE
"RSV_genus156","Virgisporangium","Actinobacteria",0.0204015339879984,0.0277190580245246,-0.220900547829646,-0.211244755905151,FALSE
"RSV_genus160","Aeromicrobium","Actinobacteria",0.0078387527012046,0.0277190580245246,-0.222626710473577,-0.158014656113767,FALSE
"RSV_genus161","Kribbella","Actinobacteria",0.0131848803775882,0.0277190580245246,-0.223460482201057,-0.179889813745859,FALSE
"RSV_genus162","Marmoricola","Actinobacteria",0.0137689654483876,0.0277190580245246,-0.223040738343329,-0.182341038326189,FALSE
"RSV_genus163","Mumia","Actinobacteria",0.0201818793278801,0.0277190580245246,-0.222880373900021,-0.211244755905151,FALSE
"RSV_genus165","Nocardioides","Actinobacteria",0.00676191965542613,0.0277190580245246,-0.186454716668023,-0.0571722297222303,FALSE
"RSV_genus166","Aestuariimicrobium","Actinobacteria",0.0200987457787871,0.0277190580245246,-0.224430792300924,-0.211244755905151,FALSE
"RSV_genus167","Microlunatus","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus168","Micropruina","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.00749410424499428,0.0277190580245246,-0.116777393731027,-0.0178950547607685,FALSE
"RSV_genus171","Propioniciclava","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.503389133726427,0.509727716732426,-0.0580732578484067,-0.179464217601671,FALSE
"RSV_genus173","Actinomycetospora","Actinobacteria",0.00403055787398278,0.0277190580245246,-0.217748908162705,-0.0818129390444549,FALSE
"RSV_genus174","Actinophytocola","Actinobacteria",0.0209221874535525,0.0277190580245246,-0.222114709625012,-0.211244755905151,FALSE
"RSV_genus175","Crossiella","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus176","Lentzea","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus178","Prauserella","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus179","Pseudonocardia","Actinobacteria",0.0163833678540191,0.0277190580245246,-0.21843737994693,-0.190450340488352,FALSE
"RSV_genus180","Saccharopolyspora","Actinobacteria",0.019353855729271,0.0277190580245246,-0.223419366571608,-0.211244755905151,FALSE
"RSV_genus181","Sciscionella","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus183","Kitasatospora","Actinobacteria",0.021388589110299,0.0277190580245246,-0.221167697201413,-0.211244755905151,FALSE
"RSV_genus185","Streptacidiphilus","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus186","Streptomyces","Actinobacteria",0.014656462957765,0.0277190580245246,-0.216660306550391,-0.190450340488352,FALSE
"RSV_genus188","Nocardiopsis","Actinobacteria",0.0241372332759492,0.0291155376391137,-0.216506297636087,-0.211244755905151,FALSE
"RSV_genus190","Actinoallomurus","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus191","Actinomadura","Actinobacteria",0.0199127872190956,0.0277190580245246,-0.221205782806266,-0.211244755905151,FALSE
"RSV_genus192","Adlercreutzia","Actinobacteria",0.0201298857720842,0.0277190580245246,-0.22372666374418,-0.211244755905151,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.119655323687442,0.124964704933313,5.02014121931587,5.10903553782745,FALSE
"RSV_genus194","Collinsella","Actinobacteria",0.030668359342106,0.0342138344105576,-0.208344274594954,-0.211244755905151,FALSE
"RSV_genus195","Coriobacteriaceae UCG-003","Actinobacteria",0.0219422785175351,0.0277513745339729,-0.220429713351215,-0.211244755905151,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.000605037186012103,0.0166817395571908,0.484045127927802,0.867721523657749,FALSE
"RSV_genus197","Eggerthella","Actinobacteria",0.0161506593731957,0.0277190580245246,-0.221715890763931,-0.177922710803399,FALSE
"RSV_genus198","Enterorhabdus","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus199","Gordonibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus201","Olsenella","Actinobacteria",2.13953001940709e-06,0.000121449792278108,0.205673472535957,0.62743796925628,FALSE
"RSV_genus202","Parvibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.00212047060879466,0.0277190580245246,-0.207210103103419,-0.11338421134871,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.00205398411531512,0.0277190580245246,-0.102235362994658,-0.0131423083657518,FALSE
"RSV_genus207","Euzebya","Actinobacteria",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.148803086898513,FALSE
"RSV_genus208","Nitriliruptor","Actinobacteria",0.0197079298474941,0.0277190580245246,-0.224559183297077,-0.211244755905151,FALSE
"RSV_genus209","Rubrobacter","Actinobacteria",0.00416618422146646,0.0277190580245246,-0.222807444265016,-0.129605346357601,FALSE
"RSV_genus211","Gaiella","Actinobacteria",0.0052218037940461,0.0277190580245246,-0.206696963566045,-0.107499536901062,FALSE
"RSV_genus217","Conexibacter","Actinobacteria",0.0131348306758994,0.0277190580245246,-0.225356821019241,-0.182912622464589,FALSE
"RSV_genus221","Patulibacter","Actinobacteria",0.0223486179085186,0.0277829932696714,-0.219870239065498,-0.211244755905151,FALSE
"RSV_genus223","Solirubrobacter","Actinobacteria",0.00530687709045175,0.0277190580245246,-0.209440882446967,-0.0907050572319485,FALSE
"RSV_genus226","Armatimonas","Armatimonadetes",0.0208578179732237,0.0277190580245246,-0.223460482201057,-0.211244755905151,FALSE
"RSV_genus228","Candidatus Caldatribacterium","Atribacteria",0.0197487534560669,0.0277190580245246,-0.222299740478941,-0.211244755905151,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.25565486702918,0.262733702537975,0.574230889000907,0.355523715615407,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",7.57006780859058e-07,4.87007695685994e-05,0.057682070466261,0.316305686414185,FALSE
"RSV_genus242","Barnesiella","Bacteroidetes",0.023476199883125,0.0284962677826612,-0.176268777570585,-0.169813408641235,FALSE
"RSV_genus243","Butyricimonas","Bacteroidetes",0.0263489999339208,0.0304512394445911,-0.203502713739046,-0.211244755905151,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.00356907792561472,0.0277190580245246,0.0208454301491066,0.151972745458163,FALSE
"RSV_genus245","Dysgonomonas","Bacteroidetes",0.0202235585064327,0.0277190580245246,-0.223761545574914,-0.211244755905151,FALSE
"RSV_genus246","Macellibacteroides","Bacteroidetes",0.0274035026658342,0.0312951243461893,-0.212182068709678,-0.211244755905151,FALSE
"RSV_genus247","Microbacter","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",4.05769701823956e-06,0.000191208596204954,-0.165421207833016,0.0618679267143215,FALSE
"RSV_genus250","Paludibacter","Bacteroidetes",0.0208256980110062,0.0277190580245246,-0.220776858690081,-0.211244755905151,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0772218568137058,0.0813527203332162,-0.086288426490701,-0.0983232149271399,FALSE
"RSV_genus252","Petrimonas","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.000582540608279044,0.0165338731467434,5.85495808289684,4.74227525170143,TRUE
"RSV_genus254","Proteiniphilum","Bacteroidetes",0.0275259153336595,0.0313977639444225,-0.205928645104206,-0.211244755905151,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.0199333748388454,0.0277190580245246,2.43761962810874,1.84945229856867,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.000144233563428985,0.00434954339715533,6.2551860451996,5.21645251155384,TRUE
"RSV_genus258","Paraprevotella","Bacteroidetes",0.0277584265798637,0.0315883038320383,-0.213063862545423,-0.211244755905151,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",0.00543845773287085,0.0277190580245246,6.54836533649135,5.62252217326734,TRUE
"RSV_genus260","Prevotella 1","Bacteroidetes",0.0203490469786979,0.0277190580245246,-0.224724708079846,-0.211244755905151,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",1.25264627881218e-06,7.55502286908597e-05,3.38434337788971,2.25741570927507,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.976581169891197,0.976581169891197,4.75444752173191,4.57879746165144,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.919512086442161,0.921421768864679,7.85338320220104,7.50013337931436,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.0259448900052903,0.0302012290170147,-0.0892723204634706,-0.126712877290747,FALSE
"RSV_genus265","Prevotellaceae Ga6A1 group","Bacteroidetes",0.0218305534700919,0.0277190580245246,-0.219051787674204,-0.211244755905151,FALSE
"RSV_genus266","Prevotellaceae NK3B31 group","Bacteroidetes",0.0203490469786979,0.0277190580245246,-0.224160364435996,-0.211244755905151,FALSE
"RSV_genus267","Prevotellaceae UCG-001","Bacteroidetes",0.0203490469786979,0.0277190580245246,-0.224237194926574,-0.211244755905151,FALSE
"RSV_genus268","Prevotellaceae UCG-003","Bacteroidetes",0.0203490469786979,0.0277190580245246,-0.223552739191894,-0.211244755905151,FALSE
"RSV_genus269","Prevotellaceae UCG-004","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus270","Prevotellaceae YAB2003 group","Bacteroidetes",0.017870512337219,0.0277190580245246,-0.224724708079846,-0.184854182608998,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.177620252854807,0.183712265814458,-0.0674775874006305,-0.176279680290486,FALSE
"RSV_genus272","Blvii28 wastewater-sludge group","Bacteroidetes",0.0214105008462592,0.0277190580245246,-0.221150905319687,-0.211244755905151,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.0635675249641027,0.0674095182311639,-0.108863056953492,-0.162881936835636,FALSE
"RSV_genus275","dgA-11 gut group","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus276","vadinBC27 wastewater-sludge group","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus281","Algoriphagus","Bacteroidetes",0.0131348306758994,0.0277190580245246,-0.225356821019241,-0.174868894307887,FALSE
"RSV_genus283","Adhaeribacter","Bacteroidetes",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.136239461051198,FALSE
"RSV_genus284","Arcicella","Bacteroidetes",0.0198203724754035,0.0277190580245246,-0.224160364435996,-0.211244755905151,FALSE
"RSV_genus285","Chryseolinea","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus286","Cytophaga","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus287","Dyadobacter","Bacteroidetes",0.0203490469786979,0.0277190580245246,-0.224237194926574,-0.211244755905151,FALSE
"RSV_genus288","Emticicia","Bacteroidetes",0.0203490469786979,0.0277190580245246,-0.22388101586535,-0.211244755905151,FALSE
"RSV_genus289","Fibrisoma","Bacteroidetes",0.0210838690992377,0.0277190580245246,-0.221608424764423,-0.211244755905151,FALSE
"RSV_genus290","Flectobacillus","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus291","Flexibacter","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus292","Hymenobacter","Bacteroidetes",0.0230287155490996,0.0282300234509221,-0.218559910744546,-0.211244755905151,FALSE
"RSV_genus293","Larkinella","Bacteroidetes",0.0196773605225772,0.0277190580245246,-0.22379867936153,-0.211244755905151,FALSE
"RSV_genus295","Nibribacter","Bacteroidetes",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus296","Ohtaekwangia","Bacteroidetes",0.00784326198006173,0.0277190580245246,-0.221842998874395,-0.186395689407271,FALSE
"RSV_genus297","Pontibacter","Bacteroidetes",0.0203490469786979,0.0277190580245246,-0.223311166208257,-0.211244755905151,FALSE
"RSV_genus298","Pseudarcicella","Bacteroidetes",0.0223145081648799,0.0277829932696714,-0.220428176971148,-0.211244755905151,FALSE
