"OTU","Genus","Phylum","p_value","p_adj_BH","Normal","Elevated","Hypertension.Stage.1","Hypertension.Stage.2","Hypertensive.Crisis","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.0967822988880026,0.144958891477256,-0.247314350331748,-0.248109675630718,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.0967114916417588,0.144958891477256,-0.245051045338669,-0.248109675630718,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.0854151543455005,0.144958891477256,-0.247722452964983,-0.248109675630718,-0.240014496874445,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.123587573799611,0.149503420144201,-0.23580896153504,-0.243937346558916,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.0967114916417588,0.144958891477256,-0.245542179223106,-0.248109675630718,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.157290437911346,0.17426552535528,-0.224242937357853,-0.237913034186791,-0.219455947521082,-0.230239173515895,-0.220530245519853,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.0998507885771384,0.144958891477256,-0.246498145065278,-0.246178903540022,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.0644681741409294,0.144958891477256,-0.246254680409789,-0.237058322474805,-0.231070336340343,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.0790008107057428,0.144958891477256,-0.246138990900703,-0.248109675630718,-0.233498867199552,-0.2404666301354,-0.220530245519853,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.0985549887454574,0.144958891477256,-0.24686710931974,-0.243683416814077,-0.241753887540844,-0.243912672652006,-0.220530245519853,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.119620815926627,0.147802928769776,-0.237919950795417,-0.23643549663709,-0.235170419445285,-0.246148693468779,-0.220530245519853,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.483785183438323,0.491423896861034,6.85413596325764,6.98771060441671,6.89211715576611,6.93677642705986,6.92863945087331,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.102367397911753,0.144958891477256,-0.244073922666508,-0.245213517494674,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.0907680992462907,0.144958891477256,-0.241086263610175,-0.248109675630718,-0.234762477211888,-0.245119987976251,-0.220530245519853,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0518447829909654,0.144958891477256,0.153392114854025,0.184424947741127,0.0979498329921402,0.0194368439371248,0.179454035113212,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.0924240526769279,0.144958891477256,-0.247722452964983,-0.248109675630718,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.14732349313024,0.166667257761644,-0.229318781375548,-0.219711304327656,-0.229641125080505,-0.237541834595389,-0.220530245519853,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.0924240526769279,0.144958891477256,-0.247722452964983,-0.248109675630718,-0.241753887540844,-0.24997119630275,-0.220530245519853,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0227849911414497,0.144958891477256,-0.17496985340619,-0.195086194013083,-0.149496577744042,-0.114245824183602,-0.220530245519853,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",6.06680078019045e-08,4.87871896073649e-06,0.750023765505508,1.06830910451586,0.904511205400397,1.15649690501403,1.79072731280323,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.59879469090054e-12,2.5713947945317e-10,1.55122982878015,1.71634847322165,1.82798590879049,2.16586448313507,2.91216071067288,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.202996577679646,0.217415868436025,-0.0196957463176284,-0.0549022781042264,-0.018129938227686,-0.0255160815927408,0.100264816723579,FALSE
