"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.attack","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.000595725050641542,0.000855891181774918,-0.253506957326854,-0.228487270096122,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.000224014532647376,0.000855891181774918,-0.246241505388386,-0.183640910505007,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.000610703660032405,0.000855891181774918,-0.251558856215011,-0.228487270096122,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",4.7085896422839e-05,0.000855891181774918,-0.230480207579393,-0.155870399803881,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.000655570606041918,0.000855891181774918,-0.250510923738235,-0.228487270096122,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.00064091160093401,0.000855891181774918,-0.250564973266683,-0.228487270096122,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.000608652322714675,0.000855891181774918,-0.251973043416483,-0.228487270096122,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.000745625219775197,0.000893824021221199,-0.242076853128859,-0.228487270096122,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.12453132652767,0.128115916950109,6.89164062822022,6.61368768191528,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.000639033842043175,0.000855891181774918,-0.252520777355586,-0.228487270096122,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.00061689633894086,0.000855891181774918,-0.252342109141293,-0.228487270096122,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.46113396386217,0.468908614464694,0.160339936231602,-0.0399717347399632,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.000424537160111521,0.000855891181774918,-0.235114318392955,-0.198865595713218,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",4.73636170594899e-05,0.000855891181774918,-0.175852546934908,-0.00892972052004772,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.00044645801548687,0.000855891181774918,0.933381989714899,1.43555235798376,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",3.54382158894084e-08,6.83957566665582e-06,1.7472695477804,2.71300352766409,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",6.29824013539066e-05,0.000855891181774918,-0.0173290432073946,0.140722029929482,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.000579374892734983,0.000855891181774918,-0.155105023804229,-0.114313320733325,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.72272844296277e-06,0.000127879457496852,0.529236703578272,1.00605397703866,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.846828187020327,0.848586916380702,2.39151625535254,2.29236562853268,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",6.51940021602574e-08,1.04853686807747e-05,4.91624521843736,3.82427730244076,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",2.58545371001121e-06,0.000178211630725773,-0.0784619198905568,0.262684448834592,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.000635560145188955,0.000855891181774918,-0.252353431277881,-0.228487270096122,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.000676730540615816,0.000855891181774918,-0.249851961381793,-0.228487270096122,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.00918629451220998,0.00968827781888812,-0.0274327970490464,-0.058342237230148,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.000630250278897971,0.000855891181774918,-0.251959799554804,-0.228487270096122,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.000617674519019343,0.000855891181774918,-0.250242878578553,-0.228487270096122,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.000362596455492959,0.000855891181774918,-0.238143793448927,-0.188469054479676,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.000622362813282656,0.000855891181774918,-0.250513953992695,-0.228487270096122,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.000601016780915336,0.000855891181774918,-0.253211644065304,-0.228487270096122,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.000610703660032405,0.000855891181774918,-0.251880625164198,-0.228487270096122,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.000610703660032405,0.000855891181774918,-0.253303164250403,-0.228487270096122,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.000581334237398334,0.000855891181774918,-0.25401179868196,-0.228487270096122,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",0.000598743561905506,0.000855891181774918,-0.24946131326572,-0.228487270096122,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",0.000665515845539944,0.000855891181774918,-0.249329844458168,-0.228487270096122,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",0.000217272925144693,0.000855891181774918,-0.248432965569716,-0.202882720749507,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",0.000652013362399206,0.000855891181774918,-0.25030187050896,-0.228487270096122,FALSE
