"OTU","Genus","Phylum","p_value","p_adj_BH","control","Breast.cancer","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.0165412254958821,0.025388785348732,-0.25401179868196,-0.218365819475552,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.0165412254958821,0.025388785348732,-0.25401179868196,-0.218365819475552,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.0167193961657593,0.025388785348732,-0.253506957326854,-0.218365819475552,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.0180676017290902,0.025388785348732,-0.246241505388386,-0.218365819475552,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.0168691566110663,0.025388785348732,-0.251558856215011,-0.218365819475552,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.0204752281209115,0.0257758241096762,-0.230480207579393,-0.218365819475552,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.0165412254958821,0.025388785348732,-0.25401179868196,-0.218365819475552,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.0173460573328454,0.025388785348732,-0.250510923738235,-0.218365819475552,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.0172027803675532,0.025388785348732,-0.250564973266683,-0.218365819475552,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.016889213369774,0.025388785348732,-0.251973043416483,-0.218365819475552,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.0182064494756068,0.025388785348732,-0.242076853128859,-0.218365819475552,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.598364051929524,0.609711553881519,6.89164062822022,6.64905130350118,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.0162868122843813,0.025388785348732,-0.252520777355586,-0.155352439424648,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.0169293896872795,0.025388785348732,-0.252342109141293,-0.218365819475552,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.575974532203445,0.58878752497492,0.160339936231602,-0.13434797940768,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.0165412254958821,0.025388785348732,-0.25401179868196,-0.218365819475552,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.0213459272751018,0.0263379271537219,-0.235114318392955,-0.218365819475552,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.0165412254958821,0.025388785348732,-0.25401179868196,-0.218365819475552,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0133442336284456,0.025388785348732,-0.175852546934908,-0.15178325652597,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.801905135376218,0.804405879041632,0.933381989714899,0.675073134808499,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.18607222223966,0.197752967468361,1.7472695477804,2.06524436764015,FALSE
