"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus1250","Oceanococcus","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1254","Leucothrix","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1256","Thiothrix","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",1.88042281683435e-60,2.43898927183487e-60,-0.129083448504104,-0.211742389397705,FALSE
"RSV_genus1258","Enterovibrio","Proteobacteria",3.02313778049772e-62,2.87268876007016e-61,-0.221683917316776,-0.273878869653688,FALSE
"RSV_genus1260","Photobacterium","Proteobacteria",2.47906440382029e-59,2.97179770147401e-59,-0.218793435018498,-0.2618458730866,FALSE
"RSV_genus1261","Vibrio","Proteobacteria",1.92698448421029e-60,2.49268100169293e-60,-0.219683539990589,-0.267704116574553,FALSE
"RSV_genus1263","Alkanibacter","Proteobacteria",7.28892670215508e-62,2.87268876007016e-61,-0.224724708079846,-0.273878869653688,FALSE
"RSV_genus1264","Nevskia","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1265","Solimonas","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1266","Aquimonas","Proteobacteria",4.41051995147823e-61,6.76653696848409e-61,-0.225356821019241,-0.272141449877746,FALSE
"RSV_genus1267","Arenimonas","Proteobacteria",1.91909380488878e-59,2.30625843302326e-59,-0.222588015291178,-0.253212306850793,FALSE
"RSV_genus1268","Chiayiivirga","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1269","Dokdonella","Proteobacteria",2.91610210917148e-61,4.7454275469654e-61,-0.222578734864291,-0.271160546048578,FALSE
"RSV_genus1270","Dyella","Proteobacteria",5.78338636568834e-62,2.87268876007016e-61,-0.221466387895648,-0.273878869653688,FALSE
"RSV_genus1271","Frateuria","Proteobacteria",1.06096521125635e-62,1.76522660148687e-61,-0.219425317762253,-0.273878869653688,FALSE
"RSV_genus1272","Ignatzschineria","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1273","Luteibacter","Proteobacteria",5.69894261191011e-62,2.87268876007016e-61,-0.21706495370479,-0.268167325318674,FALSE
"RSV_genus1274","Luteimonas","Proteobacteria",8.42946073494356e-62,2.87268876007016e-61,-0.216670144434799,-0.265323105814043,FALSE
"RSV_genus1275","Lysobacter","Proteobacteria",4.4544180757519e-60,5.57524441387883e-60,-0.222388434771131,-0.265005754493641,FALSE
"RSV_genus1276","Mizugakiibacter","Proteobacteria",6.09880734926877e-61,8.39750517411113e-61,-0.225356821019241,-0.268886916992518,FALSE
"RSV_genus1278","Pseudofulvimonas","Proteobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus1279","Pseudoxanthomonas","Proteobacteria",5.95846509121399e-60,7.371690785925e-60,-0.205709902965319,-0.251030827447038,FALSE
"RSV_genus1280","Rhodanobacter","Proteobacteria",2.20331650344163e-61,3.74991256758584e-61,-0.223294957418288,-0.27289796582452,FALSE
"RSV_genus1281","Silanimonas","Proteobacteria",1.3234717964454e-61,2.87268876007016e-61,-0.221306888026497,-0.269955254337016,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",6.85258812798097e-52,7.75234178605116e-52,0.112852759920866,-0.0218578413621779,FALSE
"RSV_genus1283","Tahibacter","Proteobacteria",1.587798884399e-61,2.87268876007016e-61,-0.219714458625862,-0.272141449877746,FALSE
"RSV_genus1284","Thermomonas","Proteobacteria",8.19518394948532e-60,1.00359803442301e-59,-0.219531418868697,-0.261689828473181,FALSE
