"OTU","Genus","Phylum","p_value","p_adj_BH","X70.75.bpm","X.60.bpm","X60.70.bpm","X75.85.bpm","X85..bpm","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.529113382836646,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.2463551476575,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.528941700737078,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.241871838576287,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.528405085845421,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.246143461069971,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.458087327324136,0.63788719251112,-0.24012977944493,-0.244635336428173,-0.235805404877013,-0.248707435117745,-0.227901142964334,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.528941700737078,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.242844710111903,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.443866368724565,0.63788719251112,-0.229452029896323,-0.231906877804364,-0.221430006480476,-0.242433936452018,-0.201141445500217,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.555120434428038,0.63788719251112,-0.244245267325378,-0.244635336428173,-0.247163545220905,-0.247530614777236,-0.244215587175999,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.514626232286626,0.63788719251112,-0.240732943504671,-0.237818948108362,-0.239659976064126,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.482026516329114,0.63788719251112,-0.247514946755938,-0.236347189541084,-0.240222291451899,-0.248707435117745,-0.24088907224991,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.48537596676488,0.63788719251112,-0.24196095671725,-0.244635336428173,-0.247163545220905,-0.248707435117745,-0.239961164377675,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.42731522498537,0.63788719251112,-0.230456851036324,-0.244635336428173,-0.236289908970807,-0.248707435117745,-0.230661330385526,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.597164063602338,0.643487138013877,6.87536576481683,6.84409059838682,6.88983527465721,6.94717893432615,6.8443491798725,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.535492207334733,0.63788719251112,-0.242299177537657,-0.244635336428173,-0.245633418994504,-0.248707435117745,-0.238105348633204,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.479370622018222,0.63788719251112,-0.247514946755938,-0.230335935696448,-0.245221634014419,-0.239538744301386,-0.236756210961571,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.195772888754922,0.63788719251112,0.180221144992456,0.0751680035307539,0.172446445853652,0.113910067947985,0.0703118377450243,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.5270285015312,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.247163545220905,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.585837079445194,0.640966872635614,-0.225718064146586,-0.215845913014397,-0.235076873117818,-0.228256960633703,-0.231312669107561,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.5270285015312,0.63788719251112,-0.247514946755938,-0.244635336428173,-0.247163545220905,-0.248707435117745,-0.244215587175999,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.164709285957214,0.63788719251112,-0.146250351397762,-0.194551279830729,-0.172440502968437,-0.192481417316189,-0.128170825886734,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.131947680008705,0.63788719251112,0.786219852326979,0.943953277965762,0.950066618642353,0.886583714272189,0.794443988399674,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.48331615675886,0.63788719251112,1.69888434135044,1.72745917503376,1.66290149100621,1.6584553445789,1.81671619170256,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.219470942064443,0.63788719251112,-0.0388890449254378,0.0342833152580303,-0.0181382139350766,-0.0533717759127318,-0.00516132451781957,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.252097159269751,0.63788719251112,-0.164823907694095,-0.148774206772346,-0.159204064965777,-0.163267373636226,-0.127021706233031,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.480295660482003,0.63788719251112,0.508435170008319,0.523104308240816,0.473076445927549,0.500162061482648,0.532204111779722,FALSE
