"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.failure","in_top_panel"
"RSV_genus82","Kineococcus","Actinobacteria",0.218162613957598,0.282531313901713,-0.252920854663914,-0.246778702133957,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",0.217589335112691,0.282531313901713,-0.251132234366801,-0.246778702133957,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",0.226008322388505,0.282531313901713,-0.246173933579284,-0.246778702133957,FALSE
"RSV_genus87","Georgenia","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",0.0286868193389229,0.282531313901713,-0.245753875139029,-0.142365139429919,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",0.22366295954278,0.282531313901713,-0.251047159766953,-0.246778702133957,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus92","Demequina","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",0.0903888260671302,0.282531313901713,-0.243327559817299,-0.188880641383725,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",0.226941527485561,0.282531313901713,-0.247661399511686,-0.246778702133957,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",0.206488272564303,0.282531313901713,-0.251765798503195,-0.202207907006016,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",0.216921879793353,0.282531313901713,-0.253254536649301,-0.246778702133957,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",0.218545402419497,0.282531313901713,-0.252811566756976,-0.246778702133957,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus100","Arsenicicoccus","Actinobacteria",0.217875838991935,0.282531313901713,-0.252334752000974,-0.246778702133957,FALSE
"RSV_genus101","Janibacter","Actinobacteria",0.0629535811484449,0.282531313901713,-0.240285727042527,-0.154054829259899,FALSE
"RSV_genus102","Knoellia","Actinobacteria",0.231449184183588,0.282531313901713,-0.248839195677717,-0.246778702133957,FALSE
"RSV_genus104","Ornithinibacter","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus105","Ornithinimicrobium","Actinobacteria",0.222593838760095,0.282531313901713,-0.250929880190859,-0.246778702133957,FALSE
"RSV_genus106","Phycicoccus","Actinobacteria",0.226106425333811,0.282531313901713,-0.249887915455313,-0.246778702133957,FALSE
"RSV_genus107","Serinicoccus","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus108","Terrabacter","Actinobacteria",0.217875838991935,0.282531313901713,-0.252959223387751,-0.246778702133957,FALSE
"RSV_genus109","Tetrasphaera","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus110","Agromyces","Actinobacteria",0.221770209309637,0.282531313901713,-0.25145658758076,-0.246778702133957,FALSE
"RSV_genus111","Candidatus Limnoluna","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus112","Candidatus Rhodoluna","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus113","Clavibacter","Actinobacteria",0.214691913293649,0.282531313901713,-0.251459868378263,-0.246778702133957,FALSE
"RSV_genus114","Cryobacterium","Actinobacteria",0.21070105476883,0.282531313901713,-0.251626638178597,-0.207535303685936,FALSE
"RSV_genus115","Curtobacterium","Actinobacteria",0.233902556747376,0.282531313901713,-0.243956150729507,-0.246778702133957,FALSE
"RSV_genus116","Frondihabitans","Actinobacteria",0.119018734369551,0.282531313901713,-0.250423963919342,-0.224656983605448,FALSE
"RSV_genus117","Gryllotalpicola","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus118","Herbiconiux","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus119","Leifsonia","Actinobacteria",0.216874260841956,0.282531313901713,-0.253303164250403,-0.246778702133957,FALSE
"RSV_genus120","Leucobacter","Actinobacteria",0.222205976062765,0.282531313901713,-0.249770700073958,-0.246778702133957,FALSE
"RSV_genus121","Lysinimonas","Actinobacteria",0.116169171282036,0.282531313901713,-0.247981444849969,-0.211716607814762,FALSE
"RSV_genus122","Marisediminicola","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus123","Microbacterium","Actinobacteria",0.226597395902955,0.282531313901713,-0.249668623611775,-0.246778702133957,FALSE
"RSV_genus124","Microcella","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus126","Pseudoclavibacter","Actinobacteria",0.216921879793353,0.282531313901713,-0.252310113017553,-0.246778702133957,FALSE
"RSV_genus127","Schumannella","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus128","Arthrobacter","Actinobacteria",0.12879613270943,0.282531313901713,-0.243347897971536,-0.203955811806987,FALSE
"RSV_genus129","Auritidibacter","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus130","Citricoccus","Actinobacteria",0.225028963480448,0.282531313901713,-0.24582264583652,-0.246778702133957,FALSE
"RSV_genus131","Kocuria","Actinobacteria",0.163312838810464,0.282531313901713,-0.218178423617696,-0.163396266857092,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.0324646608861395,0.282531313901713,-0.189689559503734,-0.0472070542436629,FALSE
"RSV_genus134","Nesterenkonia","Actinobacteria",0.257835232622094,0.289152608001648,-0.236878083977377,-0.246778702133957,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.103176398988193,0.282531313901713,8.27047313453778,8.5078206574668,FALSE
"RSV_genus136","Sinomonas","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus137","Zhihengliuella","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus139","Cellulosimicrobium","Actinobacteria",0.217732553171983,0.282531313901713,-0.252959223387751,-0.246778702133957,FALSE
"RSV_genus140","Isoptericola","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus142","Promicromonospora","Actinobacteria",0.114162610651689,0.282531313901713,-0.252247710158122,-0.20143104386756,FALSE
"RSV_genus143","Rarobacter","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus144","Sanguibacter","Actinobacteria",0.217923615991737,0.282531313901713,-0.253211644065304,-0.246778702133957,FALSE
"RSV_genus145","Actinoplanes","Actinobacteria",0.232848863860309,0.282531313901713,-0.23754885679381,-0.246778702133957,FALSE
"RSV_genus146","Asanoa","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus147","Catellatospora","Actinobacteria",0.216636278901236,0.282531313901713,-0.252839593356079,-0.246778702133957,FALSE
"RSV_genus148","Catenuloplanes","Actinobacteria",0.222593838760095,0.282531313901713,-0.250999209239707,-0.246778702133957,FALSE
