"OTU","Genus","Phylum","p_value","p_adj_BH","control","Poor.oral.hygiene","in_top_panel"
"RSV_genus76","Candidatus Planktophila","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",1.50621002280645e-49,4.15724567871936e-49,-0.218705168476987,-0.258301305200625,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",7.34983061737585e-50,4.15724567871936e-49,-0.222513528486094,-0.262954846400456,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",4.63793989248284e-49,7.32506055032069e-49,-0.225356821019241,-0.258225609791947,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",1.24440895735779e-49,4.15724567871936e-49,-0.218827529130672,-0.259340831547775,FALSE
"RSV_genus87","Georgenia","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",6.65273789900773e-50,4.15724567871936e-49,-0.209054842928297,-0.249990249444882,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",9.98628297364827e-49,1.34968670442165e-48,-0.222098500835043,-0.256794853456786,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",2.16940486492659e-49,4.15724567871936e-49,-0.22326384854529,-0.262954846400456,FALSE
"RSV_genus92","Demequina","Actinobacteria",2.26088984185378e-49,4.15724567871936e-49,-0.223061663339975,-0.262954846400456,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",1.4662374411467e-49,4.15724567871936e-49,-0.218844525639202,-0.2578802830035,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",1.27453318590305e-48,1.69178063878465e-48,-0.225356821019241,-0.26037261666748,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",6.05599117501154e-50,4.15724567871936e-49,-0.220338262771151,-0.262954846400456,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",3.35467098128104e-49,5.62023870995868e-49,-0.224160364435996,-0.261520698510026,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus100","Arsenicicoccus","Actinobacteria",5.62246628754188e-50,4.15724567871936e-49,-0.220193059201948,-0.262954846400456,FALSE
"RSV_genus101","Janibacter","Actinobacteria",7.98595185408895e-50,4.15724567871936e-49,-0.207196001312075,-0.251970876423769,FALSE
"RSV_genus102","Knoellia","Actinobacteria",1.38369359332006e-49,4.15724567871936e-49,-0.220326020309444,-0.260719398064162,FALSE
"RSV_genus104","Ornithinibacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus105","Ornithinimicrobium","Actinobacteria",1.1360225672942e-49,4.15724567871936e-49,-0.221051804377381,-0.262954846400456,FALSE
"RSV_genus106","Phycicoccus","Actinobacteria",9.80090458974159e-50,4.15724567871936e-49,-0.224160364435996,-0.262954846400456,FALSE
"RSV_genus107","Serinicoccus","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus108","Terrabacter","Actinobacteria",1.33516091031599e-49,4.15724567871936e-49,-0.22369377627937,-0.262954846400456,FALSE
"RSV_genus109","Tetrasphaera","Actinobacteria",1.94742035766241e-49,4.15724567871936e-49,-0.224559183297077,-0.262954846400456,FALSE
"RSV_genus110","Agromyces","Actinobacteria",3.08433377093712e-49,5.26793290080411e-49,-0.224430792300924,-0.261468658212784,FALSE
"RSV_genus111","Candidatus Limnoluna","Actinobacteria",9.7654155733907e-50,4.15724567871936e-49,-0.222556168285952,-0.262954846400456,FALSE
"RSV_genus112","Candidatus Rhodoluna","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus113","Clavibacter","Actinobacteria",2.35014132083182e-49,4.21540218327641e-49,-0.21929585373583,-0.259273711176762,FALSE
"RSV_genus114","Cryobacterium","Actinobacteria",1.88310639853684e-49,4.15724567871936e-49,-0.222497319696125,-0.260691575088304,FALSE
"RSV_genus115","Curtobacterium","Actinobacteria",3.46893935406963e-49,5.78156559011604e-49,-0.222780677857861,-0.256632610564002,FALSE
"RSV_genus116","Frondihabitans","Actinobacteria",5.62175154787451e-49,8.0812076173136e-49,-0.225356821019241,-0.258854091624981,FALSE
"RSV_genus117","Gryllotalpicola","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus118","Herbiconiux","Actinobacteria",5.39241808724588e-49,8.0812076173136e-49,-0.225356821019241,-0.26116314049522,FALSE
"RSV_genus119","Leifsonia","Actinobacteria",1.6920492373121e-49,4.15724567871936e-49,-0.224237194926574,-0.262954846400456,FALSE
"RSV_genus120","Leucobacter","Actinobacteria",1.49843963901139e-49,4.15724567871936e-49,-0.224237194926574,-0.262954846400456,FALSE
"RSV_genus121","Lysinimonas","Actinobacteria",5.61308708341333e-49,8.0812076173136e-49,-0.225356821019241,-0.260983652102607,FALSE
"RSV_genus122","Marisediminicola","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus123","Microbacterium","Actinobacteria",1.22968015332895e-49,4.15724567871936e-49,-0.222280234407781,-0.261226155157695,FALSE
"RSV_genus124","Microcella","Actinobacteria",9.98028481774381e-50,4.15724567871936e-49,-0.223633154578761,-0.262954846400456,FALSE
"RSV_genus126","Pseudoclavibacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus127","Schumannella","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus128","Arthrobacter","Actinobacteria",1.88046322724444e-48,2.4163076089093e-48,-0.219226158014254,-0.252112632431896,FALSE
"RSV_genus129","Auritidibacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus130","Citricoccus","Actinobacteria",2.02121562321354e-49,4.15724567871936e-49,-0.220303612579123,-0.257469564329979,FALSE
"RSV_genus131","Kocuria","Actinobacteria",4.50461510888935e-48,5.63650661536817e-48,-0.189588327100072,-0.232554735636006,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",1.61345501923749e-44,1.86912856370249e-44,-0.154621845177501,-0.185363686657401,FALSE
"RSV_genus134","Nesterenkonia","Actinobacteria",2.58101267151399e-47,3.10945971037579e-47,-0.205234141304031,-0.239653899216878,FALSE
"RSV_genus135","Rothia","Actinobacteria",4.25426074566667e-07,4.43343587426387e-07,8.32835305148253,8.21555489481978,FALSE
"RSV_genus136","Sinomonas","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus137","Zhihengliuella","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus139","Cellulosimicrobium","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus140","Isoptericola","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus142","Promicromonospora","Actinobacteria",1.36227790587704e-48,1.79100569369393e-48,-0.225356821019241,-0.257508155632813,FALSE
"RSV_genus143","Rarobacter","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus144","Sanguibacter","Actinobacteria",5.30713390142354e-49,8.0812076173136e-49,-0.225356821019241,-0.258851578654375,FALSE
"RSV_genus145","Actinoplanes","Actinobacteria",7.82196024988495e-50,4.15724567871936e-49,-0.216433001882522,-0.253587766129836,FALSE
"RSV_genus146","Asanoa","Actinobacteria",1.07255272470208e-49,4.15724567871936e-49,-0.221740021195013,-0.262954846400456,FALSE
"RSV_genus147","Catellatospora","Actinobacteria",1.77537435121286e-49,4.15724567871936e-49,-0.223504763582608,-0.262954846400456,FALSE
"RSV_genus148","Catenuloplanes","Actinobacteria",8.80374711489557e-50,4.15724567871936e-49,-0.218755783421144,-0.262954846400456,FALSE
"RSV_genus149","Dactylosporangium","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus150","Longispora","Actinobacteria",9.71997475385462e-50,4.15724567871936e-49,-0.224325889218764,-0.262954846400456,FALSE
"RSV_genus151","Micromonospora","Actinobacteria",1.00529486780246e-49,4.15724567871936e-49,-0.222888202238373,-0.262954846400456,FALSE
"RSV_genus153","Plantactinospora","Actinobacteria",3.09867792130757e-49,5.28308161495018e-49,-0.21870118300204,-0.254700605314689,FALSE
"RSV_genus154","Stackebrandtia","Actinobacteria",9.68979788001506e-50,4.15724567871936e-49,-0.223311166208257,-0.262954846400456,FALSE
"RSV_genus155","Verrucosispora","Actinobacteria",3.72454562731427e-49,6.11256212645965e-49,-0.225356821019241,-0.261335199150993,FALSE
"RSV_genus156","Virgisporangium","Actinobacteria",9.87738541416788e-50,4.15724567871936e-49,-0.220900547829646,-0.262954846400456,FALSE
"RSV_genus160","Aeromicrobium","Actinobacteria",2.95664989630945e-49,5.09494133917611e-49,-0.222626710473577,-0.25977122799188,FALSE
"RSV_genus161","Kribbella","Actinobacteria",3.26589004460415e-48,4.1359368675105e-48,-0.223460482201057,-0.251637914842223,FALSE
"RSV_genus162","Marmoricola","Actinobacteria",7.07341842659588e-49,9.89253446618119e-49,-0.223040738343329,-0.259356666281019,FALSE
