"OTU","Genus","Phylum","p_value","p_adj_BH","control","Emphysema","in_top_panel"
"RSV_genus1122","Sandaracinus","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1128","Desulfomonile","Proteobacteria",5.76126041251228e-06,8.45499025250447e-06,-0.253303164250403,-0.21157767744101,FALSE
"RSV_genus1130","Desulfovirga","Proteobacteria",5.76945320052663e-06,8.45499025250447e-06,-0.253359300696079,-0.21157767744101,FALSE
"RSV_genus1131","Syntrophobacter","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1132","Arcobacter","Proteobacteria",8.16800755463606e-06,9.7914624723277e-06,-0.245918787939473,-0.21157767744101,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.0010026583360672,0.00105976483494507,5.23548804694351,4.58823711251586,FALSE
"RSV_genus1134","Sulfurospirillum","Proteobacteria",6.30869153149081e-06,8.45499025250447e-06,-0.251134115671662,-0.21157767744101,FALSE
"RSV_genus1135","Helicobacter","Proteobacteria",6.00343162299803e-06,8.45499025250447e-06,-0.252668433986361,-0.21157767744101,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",1.91720076430698e-05,2.12899739649739e-05,-0.180286746871481,-0.188252490304283,FALSE
"RSV_genus1138","Sulfuricurvum","Proteobacteria",5.69611780673018e-06,8.45499025250447e-06,-0.253211644065304,-0.21157767744101,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.000730652424091685,0.000774812735437885,-0.0158898391605269,-0.133409162276483,FALSE
"RSV_genus1143","Aeromonas","Proteobacteria",7.83731915813478e-06,9.48410690033927e-06,-0.245647624931414,-0.21157767744101,FALSE
"RSV_genus1145","Tolumonas","Proteobacteria",5.55211493705092e-06,8.45499025250447e-06,-0.246823096342503,-0.179733842986861,FALSE
"RSV_genus1147","Anaerobiospirillum","Proteobacteria",5.72860047927293e-06,8.45499025250447e-06,-0.253173275341467,-0.21157767744101,FALSE
"RSV_genus1149","Ruminobacter","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1150","Succinivibrio","Proteobacteria",6.33553673920321e-06,8.45499025250447e-06,-0.248730009195668,-0.21157767744101,FALSE
"RSV_genus1151","Succinivibrionaceae UCG-001","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1152","Alishewanella","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1154","Idiomarina","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1155","Moritella","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1156","Paramoritella","Proteobacteria",1.07034443184818e-06,8.36270470769503e-06,-0.249270284569563,-0.167454163850815,FALSE
"RSV_genus1158","Pseudoalteromonas","Proteobacteria",6.16297753483793e-06,8.45499025250447e-06,-0.250994220585535,-0.21157767744101,FALSE
