"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.906002186605032,0.999498553099489,-0.247358251020801,-0.241047922643533,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.906002186605032,0.999498553099489,-0.2460544168583,-0.241047922643533,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.904010631800903,0.999498553099489,-0.247296688411674,-0.241047922643533,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.926502982057989,0.999498553099489,-0.239744795675899,-0.241047922643533,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.906002186605032,0.999498553099489,-0.246337346971054,-0.241047922643533,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.95717472827854,0.999498553099489,-0.226745010498261,-0.241047922643533,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.90744090017639,0.999498553099489,-0.246888055305557,-0.241047922643533,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.916301030778848,0.999498553099489,-0.24322765112723,-0.241047922643533,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.913087973228997,0.999498553099489,-0.244166767435219,-0.241047922643533,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.90899062356639,0.999498553099489,-0.245715224378242,-0.241047922643533,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.927057797660898,0.999498553099489,-0.238929230740331,-0.241047922643533,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.8586157929157,0.999498553099489,6.88831915679783,6.9599330778651,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.909987057612005,0.999498553099489,-0.245491520596057,-0.241047922643533,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.913309518411333,0.999498553099489,-0.242013243356288,-0.241047922643533,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.623048962637648,0.999498553099489,0.131987167604612,0.0519369965328222,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.902904472520362,0.999498553099489,-0.247593348878423,-0.241047922643533,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.964854371395912,0.999498553099489,-0.22656110846183,-0.241047922643533,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.902904472520362,0.999498553099489,-0.247593348878423,-0.241047922643533,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.886115289028047,0.999498553099489,-0.163984355462916,-0.241047922643533,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.181256430206799,0.999498553099489,0.869419457593555,1.202017724831,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.0389546748787407,0.999498553099489,1.69195873553696,2.62401368799045,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.530381942688894,0.999498553099489,-0.0138003900155801,-0.241047922643533,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.964520400899662,0.999498553099489,-0.157004359565437,-0.241047922643533,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.561108645625247,0.999498553099489,0.504116947640445,0.489696771328676,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.902904472520362,0.999498553099489,-0.247593348878423,-0.241047922643533,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.704297025556136,0.999498553099489,2.45081519437866,2.51802013093999,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.354727839732376,0.999498553099489,4.88971117187914,4.9333654686979,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.602851869010209,0.999498553099489,-0.0514944588528495,0.0500402170573241,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.915746956293549,0.999498553099489,-0.244871308827023,-0.241047922643533,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.920069801971181,0.999498553099489,-0.242626481869796,-0.241047922643533,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.994038408594411,0.999498553099489,-0.0332628170141694,0.00109214548047584,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.904563781444376,0.999498553099489,-0.247100606508855,-0.241047922643533,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.909212041037106,0.999498553099489,-0.2444355971448,-0.241047922643533,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.974653336354776,0.999498553099489,-0.230772140255571,-0.241047922643533,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.909987057612005,0.999498553099489,-0.245058169214102,-0.241047922643533,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.904563781444376,0.999498553099489,-0.247123153163179,-0.241047922643533,FALSE
