"OTU","Genus","Phylum","p_value","p_adj_BH","control","Lung.cancer","in_top_panel"
"RSV_genus1182","Ewingella","Proteobacteria",0.0621823550972345,0.074756823107689,-0.217795903645671,-0.165979347765884,FALSE
"RSV_genus1183","Hafnia","Proteobacteria",0.052739764981141,0.0731166981223238,-0.25401179868196,-0.165979347765884,FALSE
"RSV_genus1184","Leminorella","Proteobacteria",0.0530072041181806,0.0731166981223238,-0.252587172678526,-0.165979347765884,FALSE
"RSV_genus1185","Lonsdalea","Proteobacteria",0.052739764981141,0.0731166981223238,-0.25401179868196,-0.165979347765884,FALSE
"RSV_genus1186","Morganella","Proteobacteria",0.0538163288258101,0.0731166981223238,-0.250616434859206,-0.165979347765884,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.0786226842038982,0.08936500619171,-0.146145245449228,-0.165979347765884,FALSE
"RSV_genus1189","Pectobacterium","Proteobacteria",0.0530072041181806,0.0731166981223238,-0.253425696019019,-0.165979347765884,FALSE
"RSV_genus1190","Plesiomonas","Proteobacteria",0.0532757754656589,0.0731166981223238,-0.25201593600048,-0.165979347765884,FALSE
"RSV_genus1191","Proteus","Proteobacteria",0.0539068646936326,0.0731166981223238,-0.248936080232577,-0.165979347765884,FALSE
"RSV_genus1192","Providencia","Proteobacteria",0.0532757754656589,0.0731166981223238,-0.252106806468976,-0.165979347765884,FALSE
"RSV_genus1193","Rahnella","Proteobacteria",0.0531861256655777,0.0731166981223238,-0.250858028094102,-0.165979347765884,FALSE
"RSV_genus1194","Serratia","Proteobacteria",0.052739764981141,0.0731166981223238,-0.25401179868196,-0.165979347765884,FALSE
"RSV_genus1195","Shimwellia","Proteobacteria",0.052739764981141,0.0731166981223238,-0.25401179868196,-0.165979347765884,FALSE
"RSV_genus1196","Tatumella","Proteobacteria",0.0531861256655777,0.0731166981223238,-0.251886958646613,-0.165979347765884,FALSE
"RSV_genus1197","Trabulsiella","Proteobacteria",0.052739764981141,0.0731166981223238,-0.25401179868196,-0.165979347765884,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.111369565670032,0.124388461656922,0.143905290132779,0.832598076752113,FALSE
"RSV_genus1200","Aquicella","Proteobacteria",0.053997527663361,0.0731166981223238,-0.247613403545562,-0.165979347765884,FALSE
"RSV_genus1201","Coxiella","Proteobacteria",0.0610685174578229,0.0745305172665096,-0.223948764387951,-0.165979347765884,FALSE
"RSV_genus1202","Diplorickettsia","Proteobacteria",0.0530072041181806,0.0731166981223238,-0.253506957326854,-0.165979347765884,FALSE
"RSV_genus1204","Rickettsiella","Proteobacteria",0.0538163288258101,0.0731166981223238,-0.250201491565983,-0.165979347765884,FALSE
"RSV_genus1205","Legionella","Proteobacteria",0.0576339172075082,0.0731166981223238,-0.234663273304114,-0.165979347765884,FALSE
"RSV_genus1207","Methylobacter","Proteobacteria",0.052739764981141,0.0731166981223238,-0.25401179868196,-0.165979347765884,FALSE
"RSV_genus1208","Methylocaldum","Proteobacteria",0.0530072041181806,0.0731166981223238,-0.25286995810806,-0.165979347765884,FALSE
"RSV_genus1209","Methylomonas","Proteobacteria",0.0530072041181806,0.0731166981223238,-0.253025618710692,-0.165979347765884,FALSE
