"VARNAME","Metric","LEVEL","group_mean","group_N"
"EducationLevel_Simple","Observed_OTUs","College Graduate",121.917605633803,1914
"EducationLevel_Simple","Shannon_Diversity","College Graduate",4.54366172919827,1914
"EducationLevel_Simple","Inverse_Simpson","College Graduate",0.898300953705309,1914
"Ethnicity","Observed_OTUs","White",123.047713004484,3472
"Ethnicity","Shannon_Diversity","White",4.52532062085202,3472
"Ethnicity","Inverse_Simpson","White",0.896822362152466,3472
"Ethnicity","Observed_OTUs","Mexican",144.551032806804,1684
"Ethnicity","Shannon_Diversity","Mexican",4.7485627209599,1684
"Ethnicity","Inverse_Simpson","Mexican",0.906459924611179,1684
"Ethnicity","Observed_OTUs","Black",134.683758802817,2344
"Ethnicity","Shannon_Diversity","Black",4.6400471227993,2344
"Ethnicity","Inverse_Simpson","Black",0.900363885224472,2344
"Ethnicity","Observed_OTUs","Other",129.050582959641,1168
"Ethnicity","Shannon_Diversity","Other",4.62846582573991,1168
"Ethnicity","Inverse_Simpson","Other",0.899728415130045,1168
"Ethnicity","Observed_OTUs","Other Hispanic",134.412564366632,994
"Ethnicity","Shannon_Diversity","Other Hispanic",4.60970267373841,994
"Ethnicity","Inverse_Simpson","Other Hispanic",0.89743925323378,994
"BornInUSA","Observed_OTUs","US Born",128.189989572471,6943
"BornInUSA","Shannon_Diversity","US Born",4.56797919181439,6943
"BornInUSA","Inverse_Simpson","US Born",0.897288471176821,6943
"BornInUSA","Observed_OTUs","non-US Born",140.167958950969,2714
"BornInUSA","Shannon_Diversity","non-US Born",4.72982397525656,2714
"BornInUSA","Inverse_Simpson","non-US Born",0.906165945267959,2714
"US_Born","Observed_OTUs","US Born",128.189989572471,6943
"US_Born","Shannon_Diversity","US Born",4.56797919181439,6943
"US_Born","Inverse_Simpson","US Born",0.897288471176821,6943
"US_Born","Observed_OTUs","non-US Born",140.167958950969,2714
"US_Born","Shannon_Diversity","non-US Born",4.72982397525656,2714
"US_Born","Inverse_Simpson","non-US Born",0.906165945267959,2714
"US_Citizen","Observed_OTUs","US Born",128.189989572471,6943
"US_Citizen","Shannon_Diversity","US Born",4.56797919181439,6943
"US_Citizen","Inverse_Simpson","US Born",0.897288471176821,6943
"US_Citizen","Observed_OTUs","non-US Born",140.167958950969,2714
"US_Citizen","Shannon_Diversity","non-US Born",4.72982397525656,2714
"US_Citizen","Inverse_Simpson","non-US Born",0.906165945267959,2714
"PIRcat","Observed_OTUs",">4",122.175994180407,2138
"PIRcat","Shannon_Diversity",">4",4.53337964083414,2138
"PIRcat","Inverse_Simpson",">4",0.897154015169738,2138
"PIRcat","Observed_OTUs","2-4",129.124335378323,2032
"PIRcat","Shannon_Diversity","2-4",4.58115763563906,2032
"PIRcat","Inverse_Simpson","2-4",0.896970866753579,2032
