"OTU","Genus","Phylum","p_value","p_adj_BH","Underweight","Healthy.weight","Overweight","Class.1.Obesity","Class.2.3.Obesity","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0234851924896232,0.0708749559061844,0.0239490234883721,0.0284514953107235,0.025034838258769,0.0252171905190678,0.0252485106232616,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00768925042469647,0.0360967589381584,1.97864263565891e-05,4.194090374677e-05,4.02991793514229e-05,2.89074036016949e-05,2.73467180783818e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.169542230772686,0.286526370005839,5.23828837209302e-05,2.03084237726098e-05,2.75510033090668e-05,1.62215921610169e-05,2.05818546144121e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.000111331707488793,0.00144731219735431,0.000311553449612403,0.000328940087855297,0.000361028961614825,0.000406886706567797,0.00034620922756005,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.707285363095902,0.764704653009774,0.00101840027906977,0.000758090224806202,0.000697284790866976,0.000841411616525424,0.000875384286978508,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.314968584964571,0.479546764495608,8.34438449612403e-05,8.59572713178294e-05,8.04012104566512e-05,8.85549269067797e-05,6.3945603034134e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.000248215103945708,0.00241144693193365,0.000187860689922481,5.01258204134367e-05,7.24896492389146e-05,7.2893220338983e-06,4.37262642225032e-05,TRUE
"RSV_genus49","Parascardovia","Actinobacteria",0.000715440412971728,0.00431819392115079,0.000186640759689922,0.000183617904392765,0.000206456149569821,0.000228296527542373,0.000267714250316056,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.000195538619315833,0.00219330963647446,0.0011520983255814,0.00157467023643411,0.00119350822567836,0.00177521169173729,0.00169657903792667,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",5.20543432112632e-06,8.79718400270349e-05,0.00509116381395349,0.00531553232945737,0.00481079356254135,0.00450958608792373,0.00478637927307205,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.428712315218602,0.548881676302604,3.27754573643411e-05,0.000218700048449612,0.000388073254798147,0.000502503310381356,0.000109537993678887,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.151148211750915,0.269919614533058,0.000131046178294574,0.000202042616925065,0.000299810511581734,0.00051174568220339,0.000538810709228824,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.738361246082378,0.78040681290696,4.3953488372093e-07,3.4657815245478e-05,2.83038967571145e-05,6.06889713983051e-05,7.6871226295828e-06,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0233798585227629,0.0708749559061844,0.0924417292248062,0.100398119287468,0.104506306585043,0.10487183107733,0.104823814268015,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.928556205973256,0.939676639577727,1.19357286821705e-05,2.14159838501292e-05,1.74374169424222e-05,6.95028919491526e-06,2.05768735777497e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.142135617724483,0.263966147202611,7.42122480620155e-06,8.38439599483204e-06,4.98419655857048e-06,4.85449152542373e-06,5.63051706700379e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.741256381199802,0.78040681290696,0.00696854133333333,0.00614764198320415,0.00596964689477167,0.00578340461334746,0.00596041767762327,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.0458834340631935,0.117489399343632,0.000130467333333333,9.56838514211886e-05,7.87103136995367e-05,0.000107263263771186,0.000102135017699115,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.073917210415462,0.166560114136174,7.63974186046512e-05,0.000100543791989664,0.000109949356055592,0.000126518925847458,0.000126139069532238,FALSE
