"OTU","Genus","Phylum","p_value","p_adj_BH","Normal","Elevated","Hypertension.Stage.1","Hypertension.Stage.2","Hypertensive.Crisis","in_top_panel"
"RSV_genus605","Lachnoclostridium","Firmicutes",0.181796193156487,0.361453607569957,0.000127784253521127,0.000236756026462395,2.92002581453634e-05,0.000231876811009174,0,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",9.52698684242661e-09,8.94478209094498e-08,8.96379974054855e-05,6.99042284122563e-05,5.4290984962406e-05,3.43510275229358e-05,0.000110053888888889,FALSE
"RSV_genus625","Moryella","Firmicutes",0.00451619298692161,0.018615527189994,1.25177216456635e-05,1.47653008356546e-05,1.63176228070175e-05,2.37303247706422e-05,3.42962962962963e-06,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.383971414872157,0.55714353499116,0.00302498733098592,0.00318173138718663,0.0029003813433584,0.00306665816146789,0.00209683911111111,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.228458997948905,0.424280996190823,0.000198731506300963,0.000196265240947075,0.000240590952380953,0.000233923966972477,0.000213771925925926,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",2.81265697326405e-10,3.65645406524326e-09,0.00236134260785767,0.00301008024791087,0.00275442742606516,0.0031276212293578,0.00333106788888889,TRUE
"RSV_genus644","Peptococcus","Firmicutes",0.299328283251756,0.493002524577829,0.000675249505189029,0.000578822554317549,0.000659583241854637,0.000693221796330275,0.000480377703703704,FALSE
"RSV_genus646","Filifactor","Firmicutes",0.320545460151376,0.520886372745986,0.00135724744180875,0.00140593336490251,0.00148677203258145,0.00179817324036697,0.000740447814814815,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",0.000771516236870362,0.00362184011197476,0.000307814486656783,0.000296388497214485,0.000250359838345865,0.000272717647706422,0.00019288262962963,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.0354558522869033,0.110963685860864,0.0035023089818384,0.003227187591922,0.00338039687719298,0.00351246115412844,0.00180206674074074,FALSE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.0172493220948905,0.0594925598782958,6.34102075611564e-06,6.39093175487465e-06,2.26398245614035e-06,1.02849669724771e-05,5.34174074074074e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.998020249728786,0.998020249728786,0.000270261060044477,0.000306489590529248,0.000464204597744361,0.000380926526605505,5.52461851851852e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.133447826028536,0.29289198180289,5.18708932542624e-06,4.76755013927577e-06,5.19281453634085e-06,1.32213779816514e-05,0,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.351212862222102,0.53472949293275,0.000102469038547072,7.7344791086351e-05,0.000556635984962406,0.000176169585321101,3.37794814814815e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.939666386699597,0.94525963900138,1.65338962194218e-05,1.36754359331476e-05,4.70554385964912e-06,1.58340917431193e-05,0,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.38901146230152,0.55714353499116,0.00160095378910304,0.0018925692005571,0.0019458097518797,0.0016574093706422,0.00131693703703704,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.743863733723728,0.818011639956076,4.23349084507042e-05,7.80587242339833e-05,0.000192865770676692,8.30805339449541e-05,2.96932592592593e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.350142861403081,0.53472949293275,0.000151697170126019,0.000153551598885794,3.84125651629073e-05,0.000207840664220184,1.16296296296296e-06,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.57078805072885,0.678633172000919,0.000115370881393625,4.35326935933147e-05,0.000126533738095238,4.30467963302752e-05,5.53985555555556e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.000652067893404068,0.00314855639957964,2.23571089696071e-06,4.76844428969359e-06,5.43257894736842e-06,1.68079724770642e-05,1.01425185185185e-05,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.574228068616162,0.678633172000919,0.000412935373610082,0.000314901532033426,0.000397924421052631,0.00040990004587156,0.000218674111111111,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.000140328154380491,0.000846980646082247,0.000109094796886583,0.000104731991643454,0.000121573927318296,0.000190298576146789,7.21665555555556e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.778894588906174,0.836375053856016,1.08413936249073e-06,1.34627576601671e-06,9.27043859649123e-07,2.9958495412844e-06,0,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.0915784581028163,0.223995512148698,6.34955111193478e-05,7.15455682451253e-05,6.04587857142857e-05,7.27328844036697e-05,1.62762962962963e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.67521336939997,0.776265710398605,1.89325689399555e-05,3.68979568245125e-05,4.29646741854637e-06,5.41137577981651e-05,0,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.260164990786103,0.453277148895375,0.00292745970311342,0.00302584539554317,0.00282272419423559,0.00311411855412844,0.00249954255555556,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.400182808681458,0.563590788893053,2.91679395848777e-05,4.24558426183844e-05,7.07588847117794e-06,7.55375174311927e-05,0,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.000106460091978225,0.00069199059785846,0.000847224205707931,0.000964046440111421,0.000933120328320802,0.000911350541284403,0.00288852396296296,TRUE
"RSV_genus728","Centipeda","Firmicutes",0.701564215397596,0.795733908739556,5.71516022979985e-05,7.97147353760445e-05,6.11433571428571e-05,5.66720495412844e-05,6.75747777777778e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.397768170721417,0.563590788893053,0.00228264509303188,0.00215460852367688,0.00239544811403509,0.00256232887889908,0.00183224322222222,FALSE
"RSV_genus731","Megasphaera","Firmicutes",0.00543241269791486,0.0214141061651155,0.00497074836100815,0.00588882270612814,0.00533281818045113,0.00557483876513761,0.00688727237037037,TRUE
"RSV_genus735","Selenomonas","Firmicutes",0.327697635436759,0.522461324422758,0.000627150751297258,0.000660684476323119,0.00065391445112782,0.000686216581651376,0.000991151592592593,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.0507070760083663,0.140483538449408,0.00148513330948851,0.0015918105724234,0.00145903164160401,0.00127950657431193,0.00132098462962963,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.543374612883062,0.6535528761822,9.2031233135656e-05,9.35583272980502e-05,8.52156829573935e-05,9.23442954128441e-05,0.000156759296296296,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.68462127650698,0.781763484659998,0.0578797527802075,0.0595806023899721,0.0595524063295739,0.059408013133945,0.0574520804444444,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.787172933758959,0.836375053856016,0.0263456163669384,0.0261419654916434,0.0251665372080201,0.0263116601009174,0.024971347037037,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.0419894358978182,0.123544040493824,0.0176190338484062,0.0200690826392757,0.0186522561616541,0.0199345622440367,0.0183943606666667,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.860939670499312,0.876498821170986,4.28700722757598e-05,4.94675e-05,6.17415162907268e-05,5.16516e-05,4.03118888888889e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",3.27907776733962e-10,3.95831530485997e-09,0.000913314701260192,0.000484616396935933,0.000357463552631579,0.000428821486238532,0.00061171462962963,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.791834370514571,0.836375053856016,0.000142734968124537,3.54823537604457e-06,0.000309808182957393,3.95004220183486e-06,0,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.386889679307474,0.55714353499116,0.000134120273906598,1.70290403899721e-05,4.8455798245614e-05,1.23305798165138e-05,6.92592592592593e-07,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.522130071173686,0.650573386357298,0.00017776340289103,2.31428091922006e-05,0.000163639050125313,0.000254219205504587,7.48096296296296e-06,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.750905654132908,0.818729390635235,0.000277887296886583,9.44826323119777e-06,0.000294330293233083,1.16935614678899e-05,3.55925925925926e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.243719212567183,0.429208793011624,6.39737175685693e-06,3.92400891364903e-05,1.21827431077694e-05,4.98689908256881e-07,0,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.839321572022643,0.859668761647435,3.5908899925871e-05,3.31364860724234e-05,4.08726378446115e-05,2.45191577981651e-05,2.12919259259259e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.0729065554591323,0.186684967766566,3.69398369162342e-06,7.26309832869081e-05,4.41627781954887e-05,3.41456788990826e-05,0,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.51489556468353,0.650573386357298,0.000200503050778354,0.000105739926183844,0.000200077953634085,5.85382293577982e-05,2.24315925925926e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.79181179777374,0.836375053856016,9.163561897702e-06,1.08660376044568e-05,2.3792694235589e-06,1.1338023853211e-05,0,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",3.05955349918274e-05,0.00022481067015734,0.000237549134173462,9.84948746518106e-06,0.0001422230839599,8.14349357798165e-06,0,TRUE
"RSV_genus993","Lautropia","Proteobacteria",3.90730385949619e-13,2.20111450751619e-11,0.00147328994996293,0.00146093490111421,0.00114350269172932,0.00101888933211009,0.000372132740740741,TRUE
"RSV_genus998","Ralstonia","Proteobacteria",6.78110144092777e-11,1.43250767939599e-09,0.000436821931060045,0.000279892683844011,0.00117513705639098,9.69942128440367e-05,0.000258688444444444,TRUE
"RSV_genus1007","Curvibacter","Proteobacteria",0.000566104471390625,0.00281387222544163,7.07848895478132e-05,4.50437646239554e-05,5.10897744360902e-05,4.08668678899082e-05,0.000269026703703704,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.719258736675289,0.810364843320825,0.000534087142698295,0.000360127168523677,0.000532622694235589,0.000922115126605505,1.02162962962963e-05,FALSE
