"OTU","Genus","Phylum","p_value","p_adj_BH","Today","Yesterday","X3.5.days.ago","in_top_panel"
"RSV_genus846","Methylobacterium","Proteobacteria",0.980505019389142,0.986121193966448,7.99630078534032e-05,1.31562341463415e-05,9.39078873239437e-06,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.663425294375144,0.824403490804406,4.05196204188482e-06,4.88236585365854e-06,1.39742816901408e-05,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.657386329260213,0.824403490804406,4.08816884816754e-06,8.04780487804878e-07,7.74407042253521e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.524206868593063,0.720251713757948,3.65410340314136e-05,2.91046195121951e-05,1.53161126760563e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.823004397229934,0.927251620879059,6.97181452879581e-05,2.42326341463415e-06,5.64622535211268e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.0769996410658021,0.186570621756985,0.000238925979057592,1.10390829268293e-05,1.04970281690141e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.537639334329153,0.732750383077636,1.63537539267016e-05,2.93499073170732e-05,0,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.643513359316355,0.823892103973212,0.000145975451570681,1.05749804878049e-05,0.00371876453521127,FALSE
"RSV_genus993","Lautropia","Proteobacteria",1.50556780581415e-16,2.54440959182591e-14,0.000474035905759162,0.00079829112195122,0.00105113543661972,TRUE
"RSV_genus998","Ralstonia","Proteobacteria",0.7944243326199,0.913317770154851,0.00111059855890052,0.000108067995121951,0.000188870154929577,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.152602489721457,0.314510009303979,5.76655379581152e-05,6.10326487804878e-05,4.98759436619718e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.235546528709004,0.428036165073352,0.000853167312827224,0.000321067214634146,0.000148503478873239,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.974928330248683,0.986121193966448,0.000593975770942408,2.69620341463415e-05,1.30373098591549e-05,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.498376149088383,0.696079084263939,2.05031413612565e-06,8.21447804878049e-06,7.01408450704225e-07,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.367219705961029,0.596732022186673,2.6169359947644e-05,3.2576243902439e-06,0,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.000786126594221906,0.0042856578846291,3.43794280104712e-05,7.70998048780488e-05,0.000122158309859155,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.595536980483595,0.790759419573188,2.66954842931937e-06,4.45062926829268e-06,1.64170422535211e-06,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.851571842657105,0.927738959569969,0.000195401997382199,0.000120380307317073,0.000130024042253521,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.00198430408869993,0.00986315855853789,0.000456752735602095,0.000663981292682927,0.000623499915492958,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",6.66100362532695e-16,5.62854806340128e-14,0.0100902267015707,0.0165882993609756,0.0189711559859155,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.0131166940530665,0.0452392101013928,2.14116989528796e-05,3.00636390243902e-05,3.62132676056338e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.708652271479744,0.847300986084558,0.00017306482460733,4.59241463414634e-05,2.86249436619718e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.951199794287651,0.976893764397854,1.50798298429319e-06,1.78151219512195e-06,1.52421126760563e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.910569689793073,0.955815388664779,5.282222513089e-06,2.60635609756098e-06,2.11733802816901e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",0.0772777723253783,0.186570621756985,0.00023751342539267,0.000120161434146341,9.04992394366197e-05,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.640652008890072,0.823892103973212,4.33970968586387e-05,2.71202195121951e-05,4.06635352112676e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.922683637765408,0.962552683841691,2.33844188481675e-05,1.38066487804878e-05,2.46338028169014e-06,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.277777008118381,0.4890032747084,2.58571714659686e-05,2.26019658536585e-05,3.04494647887324e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.842264357177667,0.927738959569969,0.00570707096465968,0.0048064491804878,0.00528599528169014,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.150522654899354,0.314053440469022,5.27449869109948e-05,5.84508780487805e-06,2.03401690140845e-05,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.481152744270756,0.688086431208859,2.12319934554974e-05,1.72018682926829e-05,3.03537464788732e-05,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",8.39143557100207e-10,1.77269076437419e-08,0.000218972606020942,0.000303043024390244,0.000365214746478873,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.208928133853006,0.396728703608516,0.000800364812827225,0.000958039448780488,0.000542184690140845,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.294802905451074,0.513625680631253,3.88781426701571e-05,1.51751853658537e-05,1.68962676056338e-05,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.452789736015924,0.677181109616736,0.000162504143979058,9.53774e-05,4.09758028169014e-05,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",1.77000491011716e-12,6.85588725283597e-11,0.00225420673036649,0.00540843238536585,0.0051826482112676,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",4.56872815045938e-06,5.9393465955972e-05,0.00334641458246074,0.00436118920487805,0.00461768657746479,TRUE
"RSV_genus1233","Haemophilus","Proteobacteria",1.97585760584367e-11,5.56533225645967e-10,0.0326890280667539,0.051230770595122,0.0487779120704225,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",5.95306060704898e-15,3.35355747530426e-13,0.00017352642408377,0.000936286985365854,0.000636567295774648,TRUE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.948960299779045,0.976893764397854,0.00131925047513089,0.000167831843902439,0.000208048056338028,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.000203994789737644,0.00127685627650599,0.000249941239528796,9.16435609756098e-05,0.00031028561971831,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.484174826132912,0.688086431208859,0.000444131908376963,9.58635609756098e-06,8.20974647887324e-06,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.404234965698994,0.63412514389681,0.000581764988219895,0.000211475502439024,0.00124621795774648,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.478740372445588,0.688086431208859,0.000124729295811518,1.86877804878049e-05,3.46618309859155e-06,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.179869171935224,0.357622235965328,0.000185727102094241,0.000262976092682927,0.00028729123943662,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.14759608581594,0.311796731286172,2.18467853403141e-05,5.99519024390244e-06,8.8093661971831e-06,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.000239362357538314,0.00139490477324052,2.63175431937173e-05,4.12314390243902e-05,7.25494366197183e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.408991956714511,0.63412514389681,0.00720251453795811,0.00529962383414634,0.00516153747887324,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",0.0125144166387549,0.0443593481769174,0.00111378162827225,0.000687350702439024,0.000608165112676056,TRUE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.815510928848137,0.924975483055941,2.9747219895288e-05,1.37160195121951e-05,9.99269014084507e-06,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.675110274466729,0.832800265583045,0.000520161933246073,0.000300046565853659,0.000536575366197183,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",0.0441550225824882,0.12035804542646,0.00129919718848167,0.00074827627804878,0.000743741366197183,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.48521075954559,0.688086431208859,8.03616230366492e-06,1.63135609756098e-06,1.09154929577465e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.488582081331734,0.688086431208859,0.000213756587696335,0.000144369282926829,5.63334366197183e-05,FALSE
