"OTU","Genus","Phylum","p_value","p_adj_BH","X4","X1","X2","X3","X5","X6","X7.","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",1.37668970655504e-09,6.46279334466116e-09,0.0263082479721134,0.0273314354556541,0.0277405595816417,0.0285497048440567,0.0257219054515659,0.0253113454686131,0.0233870716002692,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.64188437088851,0.699861023742956,3.95507142857143e-05,3.44089412416851e-05,3.88942263901147e-05,4.61740207197383e-05,4.4144481427531e-05,3.68833781021898e-05,3.13920296096905e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.168552029847807,0.243464043113498,1.9767133072407e-05,2.86051352549889e-05,2.35073830538394e-05,2.71820359869139e-05,2.68949184268026e-05,1.99870919708029e-05,9.97727456258412e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",1.78636193682587e-15,1.37225076056169e-14,0.000290187036692759,0.000390510546563193,0.000410494418358341,0.000348725800981461,0.000276117654042243,0.000220047945985402,0.000199404452220727,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",7.81024883121112e-08,2.99984557380609e-07,0.000672709860078277,0.00111235162416851,0.00078286433671668,0.000927729713195201,0.000624412844865259,0.000544481068613139,0.000566499467025572,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.76348169315869,0.806427538398866,7.22065254403131e-05,3.24658736141907e-05,4.60088424536628e-05,5.80601990185387e-05,5.58803277494537e-05,2.05441839416058e-05,3.3838331090175e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.120371083029697,0.190118813383353,3.02927597847358e-05,5.1025078713969e-05,5.85473155339806e-05,5.45136134133042e-05,5.69691849963583e-05,5.76967562043796e-05,3.38697806191117e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.113829207478829,0.181482415697379,0.000236915317514677,0.000264980356984479,0.000207097207855252,0.000227224758996728,0.000155772248361253,0.000206294062773723,0.000188958499327052,FALSE
"RSV_genus51","Scardovia","Actinobacteria",2.44828799254285e-08,1.00917236765791e-07,0.00139743728131115,0.00142082407538803,0.00142066937643424,0.00218610069193021,0.00127716173124545,0.00106793773722628,0.00127860385195155,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",1.36053506886844e-12,7.66434755462552e-12,0.00520981112328768,0.00455773896341464,0.00457006353221535,0.00530436800872411,0.0049480042585579,0.00484219469051096,0.00504036240915209,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.144138850749596,0.220580697672933,1.44738414872798e-05,7.30749135254989e-05,0.000403830524713151,0.000289695079062159,1.78086249089585e-05,2.05911751824818e-05,3.74752476446837e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.522365196191068,0.611837110881875,9.58569285714286e-05,0.000109811384700665,0.000188952552956752,0.000387718176663032,0.000192546801165331,8.34139416058394e-06,5.6553469717362e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.597187907195888,0.666390246244986,3.40992372798435e-05,3.09759124168514e-05,2.16435273609885e-05,5.34929825517994e-06,6.07568754552076e-06,8.5126496350365e-06,3.07057429340511e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",2.03121373936611e-17,2.01926542325219e-16,0.103215327611057,0.123974244196231,0.117625787136805,0.11375489312868,0.1036167852622,0.0979615022087592,0.0996862899488561,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.815121984078934,0.850343304378641,6.97298287671233e-06,3.86906796008869e-05,9.37245233892321e-06,7.67968429661941e-06,8.46676547705754e-06,1.34378467153285e-05,1.07923472409152e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.105076730824588,0.170749687589956,8.31129598825831e-06,4.75786031042129e-06,7.22961915269197e-06,6.5260534351145e-06,5.89147341587764e-06,7.24381313868613e-06,6.88257873485868e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",5.9779158938253e-15,4.0410711442259e-14,0.00633949795596869,0.00704819863414635,0.00670069848411299,0.00690652590730643,0.00568967741077931,0.00550733231970803,0.00526999125572005,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.0190130169004805,0.0434216196781244,8.86203375733855e-05,0.000112327409090909,0.000102634384819064,0.000105428415485278,8.6230987618354e-05,8.41304364963504e-05,6.72716514131898e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.125957988483312,0.195292661042933,0.000120069494129159,0.000115556864745011,0.00011179521756399,0.000122115300436205,9.91148485069191e-05,0.000123239255474453,0.00011588031897712,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.715445648509244,0.765255155683938,2.3388072407045e-06,2.92017738359202e-07,7.76015887025596e-07,8.10055616139586e-07,1.56520684632192e-06,3.04525547445255e-07,1.61356931359354e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0173653603503724,0.0402019986193554,1.07163683953033e-05,1.29617638580931e-05,1.15197387466902e-05,1.64355496183206e-05,9.47567370721049e-06,7.99338832116788e-06,8.76625706594885e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0339150463422816,0.0666470096726231,0.00144229487720157,0.00245188743126386,0.0011040303733451,0.00149654107688114,0.00152717483831027,0.00155332099124087,0.00112093308613728,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",4.24804337525194e-08,1.70933173908947e-07,7.69581086105675e-05,0.000112475421286031,9.0772006619594e-05,8.75889029443838e-05,0.000101179871085215,0.000106790109489051,0.000119185825033647,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.0700968781531013,0.124698656924991,0.000151569589530333,0.000117481722838137,8.30026001765225e-05,2.44857955288986e-05,0.000100822216314639,0.000223453110948905,5.36839192462988e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",3.08507303808437e-13,1.93102719791207e-12,1.79919691780822e-05,2.76584922394678e-05,2.05342171226831e-05,1.91906281352236e-05,2.61713699927167e-05,1.86454321167883e-05,5.11685827725438e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.493762340781814,0.595612067029024,7.50801325831702e-05,3.78380720620843e-05,3.01194505736981e-05,3.19083037077426e-05,6.67726008739985e-05,5.43872875912409e-05,1.60535868102288e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",1.00319555574981e-25,1.21100034944085e-24,0.0169113786908023,0.0153583484900222,0.015276977788173,0.0169876624711014,0.0178128685091041,0.0178667212335766,0.0213665851561238,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",5.29455241853231e-06,1.720729536023e-05,0.000948395620841487,0.00101816890576497,0.000948800522506618,0.0009473293391494,0.00106113535324108,0.000936160932846715,0.00108834880349933,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",2.32993946607222e-35,4.92199712207757e-34,0.0235102078385519,0.0167170400454545,0.0190313232409532,0.0212458192322792,0.0245485978907502,0.0248048710452555,0.0263037199650067,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",1.87213585449561e-10,9.3056164532282e-10,0.0244658542460861,0.0220243123713969,0.0227829162939099,0.024122905068157,0.0256080534464675,0.0265752084817518,0.0258769571830417,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",8.61294577286105e-37,2.91117567122704e-35,0.00168872416242662,0.00242121277716186,0.00142795934201236,0.00160644078026172,0.00176291258630736,0.00179705612554744,0.00334598011843877,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",5.60861152249855e-16,4.9887123542224e-15,0.00596989728718199,0.0066024006751663,0.00648574198102384,0.00563262110796075,0.00482810551638747,0.00446882356934307,0.00463829706460296,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.00103059069060719,0.00267953579557869,0.0779187626643836,0.0832015620687361,0.0806552037369814,0.0769084496941114,0.0747315100808448,0.0712900216131386,0.0754700687025572,TRUE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.650999993786852,0.704260917217101,0.000230146358610568,1.4431623059867e-05,0.000106658603706973,9.34807426390403e-05,0.000166871016023307,7.57407299270073e-06,1.62010215343203e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.654254224870325,0.704260917217101,6.37750831702544e-05,0.000141688643015521,2.65863839364519e-05,4.05564138495093e-05,8.12546576839038e-05,2.08034350364963e-05,1.1010736204576e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.531403928523075,0.615118246030135,2.31599305283757e-05,4.36792017738359e-05,2.07957736098853e-05,2.04889743729553e-05,1.45329380917699e-05,3.02562321167883e-05,3.51128277254374e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",6.69267084293234e-30,1.13106137245556e-28,0.00547697079500978,0.00283720118070954,0.00379564255736981,0.00566073425354417,0.0058958278164603,0.0066431905970803,0.0066424713257066,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",6.17571380665492e-05,0.000176897564970285,0.00310682671330724,0.00288447067849224,0.00308178039143867,0.00312099631352235,0.00364744521922797,0.00314979580729927,0.00328822575235532,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.832341370375045,0.856554280219045,1.58374628180039e-05,5.28123170731707e-06,1.30970030891439e-05,4.08046782988004e-06,2.21239184268026e-06,6.13285693430657e-06,5.34886406460296e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.230206582914927,0.316300101728639,0.000622848467710372,0.000911623213968958,0.000454245442188879,0.000620720892584514,0.00059490363219228,0.000417218433576642,0.00118830572678331,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.285749869401763,0.377279124444515,8.28549266144814e-06,7.18087583148559e-07,7.52070609002648e-06,7.15180043620502e-06,7.94074654042243e-06,1.27724204379562e-05,5.29804845222073e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",1.35702696970441e-15,1.09208360895259e-14,0.0486302477074364,0.0423670195066519,0.0462813060172108,0.0452814374607415,0.0517453237166787,0.0537123794510949,0.0524943007510093,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.599356907865313,0.666390246244986,0.000232913820939335,0.000454339257206209,0.0001437698380406,0.000143253637949836,0.000180869850691915,9.9965693430657e-05,8.39083149394347e-05,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",2.44123600093103e-26,3.17360680121034e-25,0.00196337132778865,0.0016319134135255,0.00177432528508385,0.00198999989422029,0.00213646768900218,0.00232511230948905,0.00230158136877523,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.0417938739742981,0.0802632352460953,2.28757974559687e-06,1.14743680709534e-06,2.27908517210944e-06,1.72798091603053e-06,2.91037654770575e-06,7.08021897810219e-07,6.66951009421265e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.0970527150542297,0.162395137070939,0.025407472231409,0.0239463885177384,0.024918546390556,0.0254712282589967,0.0250932688572469,0.0257993042583942,0.0245604849273217,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",5.80980634122321e-09,2.58383492543875e-08,0.00419360751418786,0.00767845831818182,0.00451656969417476,0.00543365438004362,0.00310485494756009,0.00359781256934307,0.00314681124495289,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.782965951923114,0.821871092391344,5.46976859099804e-06,3.98708980044346e-06,2.19247219770521e-06,5.75366848418757e-06,4.9970402767662e-05,1.45130072992701e-06,1.2884401076716e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.496930777817114,0.595612067029024,0.000182365663894325,7.07891906873614e-06,3.0526253309797e-06,4.4118800436205e-06,1.00936052439913e-06,2.64545109489051e-06,1.00313526244953e-05,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.52494900046078,0.611837110881875,2.62996247553816e-05,3.43412039911308e-05,4.66837740511915e-05,1.83611074154853e-05,7.13361638747269e-05,0.000494615531386861,0.000109212227456258,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.145650729829995,0.220580697672933,0.32545208359002,0.322963359596453,0.326422283568843,0.319924460312978,0.323129442249089,0.32092694389927,0.314599978118439,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.594061482840249,0.666390246244986,2.79662328767123e-05,0.000162793049889135,5.96396235657547e-05,5.34220218102508e-05,6.23136860888565e-05,0.000112663919708029,8.43531426648721e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.158700134243645,0.235265988484001,3.48644496086106e-05,7.55582483370288e-06,3.51809488084731e-06,1.3638326608506e-05,6.46105171158048e-06,6.44816204379562e-06,2.60702826379542e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",8.54288958798102e-17,8.02082411315996e-16,0.000208232083659491,0.000187293444567627,0.00020677906266549,0.00017997226608506,0.00024255380772032,0.00022781858540146,0.000363343917900404,FALSE
