"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus592","Catonella","Firmicutes",0.015564270704093,0.0438393624831953,0.00077407686554622,0.000738108847071584,0.000707072069222576,0.000782768886063073,0.000763653554773869,FALSE
"RSV_genus600","Howardella","Firmicutes",0.00636730903229683,0.0216886740649595,2.04664905462185e-05,2.52375694143167e-05,2.09890511182109e-05,1.97872115971516e-05,2.26573628140703e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.460528143329743,0.618868127073913,2.44751039915966e-05,4.90376030368763e-06,1.76576709265176e-05,3.09624608341811e-05,1.6642959798995e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.415730524495488,0.599469716489636,0.000281464476890756,0.000280370469631236,0.000263576135250266,0.000239298424211597,0.000233285832160804,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.269245026696086,0.421318606589246,0.00243540468592437,0.00235595107700651,0.00221381539510117,0.0023194458646999,0.00251942694371859,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.777636684197862,0.861637264035198,0.00012758668802521,5.27053101952278e-05,0.000131431479233227,0.000146566121057986,0.000119091461306533,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",7.06628309823388e-06,7.0247167270678e-05,0.000113447642857143,6.2406715835141e-05,5.65906666666666e-05,7.27007914547304e-05,6.81928532663317e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",0.000544218714409502,0.00229932406838015,8.28304516806723e-06,1.44027462039046e-05,1.64563226837061e-05,1.65140264496439e-05,1.80276693467337e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.124687602613405,0.238332104984212,0.00317974156302521,0.00300140667787418,0.00287476573482428,0.00300609557070193,0.00306330901909548,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.102851441829053,0.202115042664069,0.000168216006302521,0.000230113921908894,0.000205422641107561,0.000199572871820956,0.000236471238190955,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.0556726233707333,0.126353720599572,0.00235669396638655,0.00258492544251627,0.00270987595740149,0.0026498963387589,0.00272918390552764,FALSE
"RSV_genus644","Peptococcus","Firmicutes",0.624777660866382,0.748846983591621,0.000556043849789916,0.0006566604164859,0.000694810120340788,0.000712404321464904,0.000709649847236181,FALSE
"RSV_genus646","Filifactor","Firmicutes",1.63818512759028e-05,0.000131834898363218,0.00105470212605042,0.00149586887744035,0.00151037884451544,0.00151225685554425,0.00162258895075377,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",0.00137526816976767,0.00540512373699387,0.000310033327731092,0.000308037009761388,0.000288378146964856,0.00029308683723296,0.000280227369849246,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.799910370206572,0.866569567723787,0.00328557470588235,0.00340248644143167,0.00351227739829606,0.00349596929399797,0.00361209129346733,FALSE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.422136226929016,0.599469716489636,4.25475840336134e-06,8.17459110629067e-06,5.6827369542066e-06,4.95135401831129e-06,4.87646130653266e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.468148645145085,0.621679965633572,0.000442008130252101,0.000151946293926247,0.00030864257827476,0.000359804604272635,0.000192865775879397,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.760066101407172,0.856341140918747,1.0412493697479e-05,1.00945845986985e-05,3.88016293929712e-06,3.27543133265514e-06,3.9451216080402e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.207647557635765,0.350924372404443,0.000184323228991597,0.000455849160520607,0.000139099207667732,5.79229043743642e-05,0.000111174242211055,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.712642069370715,0.824907600846924,2.49737710084034e-05,4.00916919739696e-06,1.30791288604899e-05,9.85446897253306e-06,9.16038291457286e-06,FALSE
