"OTU","Genus","Phylum","p_value","p_adj_BH","X70.75.bpm","X.60.bpm","X60.70.bpm","X75.85.bpm","X85..bpm","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.961159062384671,0.983656172671008,0.0272952617224975,0.0252707940222672,0.0265556488817915,0.0251422852184589,0.0266553882834224,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0209553525021418,0.173590930586142,3.8673017839445e-05,3.00930222672065e-05,3.48279691629956e-05,3.80124894157494e-05,2.95056804812834e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.083023609097199,0.326302091568061,4.10814420218038e-05,9.85104655870445e-06,1.33124140969163e-05,1.26861778154107e-05,3.32041631016043e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.141569518139003,0.435169963283168,0.000308302161546085,0.000297801034412955,0.000401084961086638,0.000382900463166808,0.000343635739304813,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.621410682150889,0.829002053278629,0.000815113988107037,0.00076415709311741,0.00074426603671072,0.000720873729043184,0.000928646987967914,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.508056638083222,0.740185964104004,6.07359672943508e-05,8.00603623481781e-05,4.53346857562408e-05,8.0960767146486e-05,0.00011999581684492,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.721614047168287,0.896711573319415,2.69754568880079e-05,0.000101482060728745,5.46107584434655e-05,4.3740649449619e-05,5.80151978609626e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.97177669306832,0.983656172671008,0.000266816763131814,0.000153038360323887,0.000174333798825257,0.000227134,0.000215887364973262,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.0811694469583341,0.326302091568061,0.00133544988899901,0.0014085467854251,0.00156878481791483,0.00130985177561389,0.00186624769919786,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.371089376497658,0.62093172899113,0.00522572993062438,0.0048697959271255,0.0047859367650514,0.00504087414479255,0.00445263467513368,FALSE
