"OTU","Genus","Phylum","p_value","p_adj_BH","White","Black","Mexican","Other","Other.Hispanic","in_top_panel"
"RSV_genus1248","Pseudomonas","Proteobacteria",1.52175956608127e-05,2.38127191359014e-05,0.000384377548250564,0.000137379035968214,0.00113640888888889,0.00114224354674457,0.000159575913346614,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.000115245289244557,0.000167900464502847,2.26910428893905e-05,3.97943542450857e-05,1.38546473684211e-05,3.4207570951586e-05,1.53569003984064e-05,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.000141748771111327,0.00020130707830096,0.000177023773702032,7.21626528649101e-05,0.000941565644444444,7.21498113522538e-05,0.000167672354581673,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.304756352124371,0.325973566512776,1.23023425507901e-05,7.58436930154747e-06,4.19260900584795e-05,1.27664649415693e-05,1.50309910358566e-05,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",5.08569979956457e-20,1.38626333246196e-19,3.45343177200903e-05,5.53462141363446e-05,3.37625350877193e-05,4.34248789649416e-05,4.21788924302789e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",1.12635071751294e-55,1.26902180839792e-54,0.00319514687584651,0.0046514409247177,0.00547792736491228,0.00463837154173623,0.00408028558964143,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",1.35042475218213e-29,5.07159518041735e-29,0.000479043440744921,0.000610397714763697,0.000552867000584796,0.000494109116861436,0.000521099761952191,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",3.57363120663367e-34,1.63228019978673e-33,5.95174633182845e-06,2.62915018820577e-05,1.6853134502924e-05,8.9593714524207e-06,1.32378605577689e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",2.41504703144851e-50,2.1481207806042e-49,0.000115794480530474,0.000321332872856545,0.000306332564327485,0.000127808766277129,0.000195236294820717,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",7.42090674038838e-25,2.55945559005232e-24,0.00051890168030474,0.000652892442910915,0.00070777255380117,0.000543230432387312,0.000567261100597609,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.108917813171449,0.126945589144655,4.35990829571106e-06,1.88807904642409e-06,6.68941812865497e-06,1.4951694490818e-06,3.9402858565737e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",5.35834389589016e-05,8.2323647127767e-05,0.000115518183408578,5.82363764115433e-05,0.000280832959649123,3.94116602671118e-05,2.84861065737052e-05,FALSE
