"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus510","Dolosigranulum","Firmicutes",0.744979329237884,0.820308527299366,3.40007927272727e-06,0,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.629779878865434,0.813037422174226,0.0226921214825455,0.0286342589,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",0.631366896821246,0.813037422174226,0.00465615702872727,0.0021186422,FALSE
"RSV_genus523","Leuconostoc","Firmicutes",0.740700834160352,0.820308527299366,3.07296261818182e-05,0,FALSE
"RSV_genus525","Weissella","Firmicutes",0.7323704046339,0.820308527299366,0.000125008264,0,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.441855791295526,0.813037422174226,0.000145915523636364,0,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.267617090626631,0.707839484691873,0.314954038696,0.2427915426,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.691941470668427,0.813037422174226,2.61234563636364e-05,1.79569e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.0120929690973232,0.300854152866592,5.93250654545454e-06,1.12069e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.112989527403134,0.614956864632649,0.000291873706545454,2.51044e-05,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.398804445164548,0.806515210141882,9.77305585454545e-05,3.53727e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.00568552007516477,0.286423364139447,4.62562189090909e-05,9.15588e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.822827238273245,0.870748100934829,3.32202716363637e-05,3.58831e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.0236554510177339,0.399777122199703,4.25314323636364e-05,0.0049519123,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.501855686099946,0.813037422174226,2.91351349090909e-05,0,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.395817786016304,0.806515210141882,0.00488086447418182,0.0041803628,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.124567444313819,0.614956864632649,5.55397138181818e-05,4.97988e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.440291094192685,0.813037422174226,2.34220389090909e-05,0,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.109011827740205,0.614956864632649,0.000122288470545455,1.92e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.444930098209876,0.813037422174226,0.000612991496,0.0001040947,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.281665476876602,0.707839484691873,0.0027886959629091,0.0018453816,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.0367524307281599,0.466589949476508,0.00138371456763637,0.0002873931,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.152948210969929,0.614956864632649,0.00201779577890909,0.0013413683,FALSE
"RSV_genus589","Blautia","Firmicutes",0.190960506121237,0.701572294228024,8.54126418181818e-05,1.12069e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.652767937716284,0.813037422174226,0.000205211633454545,0.0001231752,FALSE
"RSV_genus592","Catonella","Firmicutes",0.0930824269924558,0.614956864632649,0.000813160207272726,0.0003807742,FALSE
"RSV_genus600","Howardella","Firmicutes",0.501089347616415,0.813037422174226,2.33663727272727e-05,1.301e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.667665116677695,0.813037422174226,1.59304534545455e-05,0,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.0306659916119024,0.431879381867626,0.000279289325818182,2.11357e-05,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.824376900293329,0.870748100934829,0.00237362119781819,0.0024449658,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.528450850034299,0.813037422174226,7.09257396363636e-05,5.99e-06,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.284503958452004,0.707839484691873,6.33122785454545e-05,0,FALSE
"RSV_genus625","Moryella","Firmicutes",0.899196872841949,0.92993757349306,1.83195898181818e-05,1.89699e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.271368897727006,0.707839484691873,0.00314229164254546,0.0020674342,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.138326695615299,0.614956864632649,0.000225955662909091,6.03205e-05,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.571633303233781,0.813037422174226,0.00271194196036363,0.0026926045,FALSE
"RSV_genus644","Peptococcus","Firmicutes",0.0555464659279512,0.521519596767986,0.000766790306181818,0.0002651952,FALSE
"RSV_genus646","Filifactor","Firmicutes",0.144884586593658,0.614956864632649,0.00177999798436364,0.0009296993,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",0.00199169884727713,0.168298552594917,0.000323414414909091,5.28e-06,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.270929605648569,0.707839484691873,0.00377935172218182,0.00225749,FALSE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.698023735784485,0.813037422174226,4.18216e-06,0,FALSE
