"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.attack","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.446232987334423,0.630857897859863,0.0264003204196364,0.0278959925299145,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.017899755978117,0.0550010683691233,3.83482396363636e-05,1.37511623931624e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0523602510056234,0.134073976059854,2.44203581818182e-05,0.000114084598290598,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.0149539295042303,0.0476832846455644,0.000365623028,0.00104764522222222,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.96924668632175e-07,8.32006724970937e-06,0.000820955078181817,0.00130269288888889,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.188917792109046,0.34703377028727,8.72923418181818e-05,6.52991709401709e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.803107326478576,0.895080165411182,5.23008305454545e-05,5.31041965811966e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.00208442263364671,0.0100647835738941,0.000220258513818182,0.000694684564102564,TRUE
"RSV_genus51","Scardovia","Actinobacteria",0.994866375947386,0.994866375947386,0.00137838485927273,0.00162988128205128,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",3.08518021797611e-06,5.21395456837963e-05,0.00491431023672728,0.00315391784615385,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",7.9859401070437e-06,0.000118953686315257,0.000330139621090909,0.000346472555555556,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.272094815966182,0.464485089881665,0.000284966473818182,0.000269517863247863,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.289329698759377,0.488967190903347,3.0563376e-05,0.000184632435897436,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0942885993201598,0.206945107598792,0.102601586236364,0.126212839162393,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.0404618414293092,0.110291148412149,2.01341214545454e-05,8.04858205128205e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.517849000352259,0.668064740912456,5.77126872727273e-06,1.95299145299145e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.0660836856577698,0.161857143132799,0.00594374278181818,0.00762907405982906,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.191107947406476,0.347282183996715,9.18645334545455e-05,0.00016483417948718,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.484722348404006,0.654457768705624,0.000126498141818182,0.000143381102564103,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.384309087593601,0.570949713117106,1.69779963636364e-06,1.18461538461538e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0766480646407676,0.175047607084996,9.67346e-06,1.29786666666667e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.820931512655226,0.895080165411182,0.00109256124436364,0.00416774874358974,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.762485362311313,0.866374914713063,0.000124930004,0.000162957803418803,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.940692990269554,0.967549855965496,0.000127973106181818,1.1127717948718e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.159934361794393,0.314266135848789,3.37328512727273e-05,9.20276923076923e-06,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.763845339007375,0.866374914713063,6.59804029090909e-05,9.0709264957265e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.000378701184392031,0.00213335000540844,0.0189265405999999,0.014714186042735,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",0.0126049486474744,0.0426047264284635,0.001140682888,0.00131000688034188,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",5.28774732376076e-05,0.000388534477267639,0.0231263851381818,0.0180763503076923,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.000171255509215192,0.00103364932347741,0.0269819593796364,0.0221178025042735,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",1.18775817941994e-05,0.000154408563324592,0.002038417492,0.00126422242735043,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.423853795987028,0.607044843405151,0.00556697774036365,0.00638953724786325,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.65004970124355,0.779137585178439,0.079268885846909,0.078712104051282,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.255017319969676,0.444308526545106,0.000210420472363636,2.96355555555556e-06,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.982224329023903,0.992124612624001,0.000133819138909091,6.71052136752137e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.511576448617935,0.665049383203316,2.83582345454545e-05,4.72138461538462e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.16110103885449e-09,1.96226075566409e-07,0.00472671352727272,0.00144731486324786,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.00137947641011442,0.0068568092149805,0.00313383203781819,0.00308523738461538,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.944649267658621,0.967549855965496,1.53993483636364e-05,8.45905128205128e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.163546338868596,0.314266135848789,0.00128637445490909,0.0018660794957265,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.100539449948119,0.215078063813064,7.19863090909091e-06,3.95303418803419e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.00419123636560755,0.0186399722575704,0.0474360664145454,0.0385184127094017,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",8.59895725551179e-07,2.42203962696915e-05,0.000291499650909091,0.000473610128205128,TRUE
"RSV_genus499","Abiotrophia","Firmicutes",5.92362043693118e-05,0.000417121605767237,0.00151395832145455,0.0013572434957265,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.501020017116158,0.656375061183184,3.40007927272727e-06,3.25377777777778e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.201623677454479,0.354941682185489,0.0226921214825455,0.0224145042393162,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",1.51211147067723e-06,3.65066912206359e-05,0.00465615702872727,0.0161961683846154,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.532305840551377,0.68151278070593,3.07296261818182e-05,5.16844444444444e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.761141288597047,0.866374914713063,0.000125008264,2.30439316239316e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0315081238859091,0.0887478822786439,0.000145915523636364,0.000424877034188034,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.455412210289369,0.630857897859863,0.314954038696,0.302915236897436,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.297356871006807,0.497557536635152,2.61234563636364e-05,0.000345877034188034,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.740526061477036,0.863095892342201,5.93250654545454e-06,9.56121367521368e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.0145521704575843,0.0472945539871489,0.000291873706545454,0.000190779769230769,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.000298311908464457,0.00173843836312046,9.77305585454545e-05,0.000115976179487179,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.00966307891246669,0.0333277619634055,4.62562189090909e-05,3.5394905982906e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.587595511586123,0.714414686748595,3.32202716363637e-05,7.14747094017094e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.0131706584206872,0.0436439465312968,4.25314323636364e-05,0.00012900264957265,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.336987122621542,0.53225068900038,2.91351349090909e-05,1.44957264957265e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.579557707121637,0.713221859796307,0.00488086447418182,0.00500762787179487,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.354429519014643,0.544532624667951,5.55397138181818e-05,6.7792e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.841647085796191,0.896185279266086,2.34220389090909e-05,5.81547606837607e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.00630825220747504,0.0243579902176958,0.000122288470545455,7.92712136752137e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.00482008417544434,0.0208462083872113,0.000612991496,0.000457132008547008,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.0049340138194583,0.0208462083872113,0.0027886959629091,0.00224286957264957,TRUE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",2.72515568581431e-05,0.000254587012808484,0.00138371456763637,0.000970293786324786,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.00636518740238996,0.0243579902176958,0.00201779577890909,0.00166875577777778,TRUE
"RSV_genus589","Blautia","Firmicutes",0.163641538193452,0.314266135848789,8.54126418181818e-05,1.44383504273504e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.0484603729913385,0.127965672430253,0.000205211633454545,0.000155293324786325,FALSE
"RSV_genus592","Catonella","Firmicutes",4.71352519113126e-05,0.000379034367110358,0.000813160207272726,0.000643577,FALSE
"RSV_genus600","Howardella","Firmicutes",0.0231861568352562,0.069972509020684,2.33663727272727e-05,3.22571538461538e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.543673406152676,0.685677654028374,1.59304534545455e-05,9.31559658119658e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",3.35586104167451e-05,0.000283570258021496,0.000279289325818182,0.000124517358974359,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.483941993459549,0.654457768705624,0.00237362119781819,0.00299440458974359,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.401459213011632,0.583158111858084,7.09257396363636e-05,0.000621020914529915,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.069343535125236,0.162764686613401,6.33122785454545e-05,6.88086752136752e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",0.817857654910105,0.895080165411182,1.83195898181818e-05,1.30822905982906e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",2.86222085405988e-05,0.000254587012808484,0.00314229164254546,0.00224023483760684,TRUE
"RSV_genus630","Shuttleworthia","Firmicutes",0.571890244468067,0.710657730258112,0.000225955662909091,0.000266632675213675,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.314909769875346,0.506854772466033,0.00271194196036363,0.00273878486324786,FALSE
"RSV_genus644","Peptococcus","Firmicutes",2.00752801698713e-06,3.91406629183357e-05,0.000766790306181818,0.000435203683760684,TRUE
"RSV_genus646","Filifactor","Firmicutes",0.000549125003073341,0.00290006642248108,0.00177999798436364,0.000944306435897436,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",2.02640301746773e-05,0.000221274023708303,0.000323414414909091,0.000186000786324786,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.000444810888729961,0.00242493678049559,0.00377935172218182,0.00304214360683761,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.582394181372133,0.713221859796307,4.18216e-06,2.5277e-05,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.0999284331776194,0.215078063813064,0.000258349682909091,0.00038144088034188,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.671368506657336,0.79003684126298,8.09415563636364e-06,3.96857264957265e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.0177622532014414,0.0550010683691233,5.19878407272727e-05,0.000292978487179487,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.00273903600268417,0.012858252345934,3.77913236363636e-06,6.86433333333333e-05,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.168905272180419,0.317166566649898,0.00175679964290909,0.00172164370940171,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.142665638435061,0.290487866211149,5.6218584e-05,1.16419829059829e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.160288330005597,0.314266135848789,6.18209149090909e-05,0.000729525512820513,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.816965506882893,0.895080165411182,8.21314705454546e-05,1.17188888888889e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.758108021294807,0.866374914713063,7.71322327272728e-06,2.49982051282051e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",0.0562854154327976,0.141973659823027,0.000427376124,0.000390270888888889,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.0506544865687216,0.131701665078676,0.000147434732,7.11376068376069e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.17311218273154,0.321494053644288,1.87242654545455e-06,0,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",0.00802915660235586,0.0288707971446413,7.46250447272727e-05,5.15822051282051e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.0931349273597772,0.206945107598792,4.84193818181818e-06,0.000178864017094017,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.493755288053121,0.654457768705624,0.00292363480872727,0.00314749406837607,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.144620291326589,0.290962252788018,9.77072036363636e-06,0.000201510786324786,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",0.843156564516614,0.896185279266086,0.00105312885163636,0.00135189712820513,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.403724846670981,0.583158111858084,7.63077272727273e-05,5.50175641025641e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",0.385137676303847,0.570949713117106,0.00255561948181819,0.00226369122222222,FALSE
"RSV_genus731","Megasphaera","Firmicutes",0.925975160438564,0.967549855965496,0.00536718770254546,0.00633163435897436,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.469335364182427,0.644859158917319,0.00071927828109091,0.000913815042735043,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.0274691374548567,0.0786827835571318,0.00158458157781818,0.0015183011025641,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.668932317184917,0.79003684126298,9.96063367272728e-05,0.000118760871794872,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.0746857820656604,0.172902700946529,0.057177881429091,0.0636171136239316,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.00553120678566063,0.0222565225423011,0.0271414576534546,0.0226442611367521,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",0.970844167534963,0.988389544056679,0.0190211871010909,0.0208693853846154,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.30933172788152,0.50266405780747,4.43542414545454e-05,6.40448461538462e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.00516751055193343,0.0213002264213841,0.000648898389818181,0.000375647948717949,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.0337447431836956,0.0934895343941732,5.71606098181818e-05,0.00396888309401709,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.401960882549762,0.583158111858084,9.49002363636364e-05,0.000106859333333333,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.595915239107204,0.719354824350839,0.000158459832363636,7.9782735042735e-06,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.347755734708768,0.544173325609091,0.000337193112727273,0.000111440256410256,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.941206222897636,0.967549855965496,1.25413410909091e-05,2.57039145299145e-05,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.452152117530283,0.630857897859863,3.53887563636363e-05,3.40642991452991e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.819075643782235,0.895080165411182,3.78155258181818e-05,2.4291282051282e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.350983248530652,0.544185036712662,0.000185751747272727,0.000426746709401709,FALSE
"RSV_genus990","Sutterella","Proteobacteria",4.93417519315259e-05,0.000379034367110358,2.20930981818182e-06,5.86398205128205e-05,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.00320205968190215,0.014625623952472,0.000173583443272727,0,FALSE
