"OTU","Genus","Phylum","p_value","p_adj_BH","control","Tooth.decay","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0166964458851293,0.0280646082709924,0.0260898626647498,0.0246925577427427,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0370939555197952,0.0580451711374574,3.66556739505463e-05,2.81145345345345e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",9.54566238479022e-14,3.2922794755705e-13,6.66418573893042e-06,5.06468978978979e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",5.02882343878097e-07,1.23169733500577e-06,0.00036438361759632,0.000408422723723724,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.23748119212997e-40,1.04567160734983e-39,0.000622764218516389,0.00108048901601602,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.419143087944525,0.495350922116256,8.09106802760207e-05,7.49898128128128e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.00880497001666986,0.0167195498069349,1.79144445083381e-05,9.77476696696697e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",3.23326282968621e-62,4.96746743833608e-61,8.66212139160436e-05,0.000446439094094094,FALSE
"RSV_genus51","Scardovia","Actinobacteria",2.00170734845835e-12,6.63310866449923e-12,0.00111267673317999,0.00183538108808809,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.676639573619633,0.722813026671267,0.00509170294709603,0.0046554813033033,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.98366952448403,0.98366952448403,4.58539097182289e-05,0.000562209316316316,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.595365004867556,0.661095242574951,0.000380955324899367,0.000241074153153153,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.393571104763964,0.471727068830566,4.24678648648649e-05,2.95241761761762e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",1.27703338601192e-06,3.03969918642273e-06,0.110544209737205,0.0981343627577576,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.0114204896828685,0.0209789430043997,2.07747556066705e-05,1.1559956956957e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.0122276683093682,0.0222201714439057,6.88529384703853e-06,3.96941741741742e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",2.11625493762005e-07,5.41889521905741e-07,0.0054048363225992,0.00652691955455455,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",1.09667673355215e-31,5.97865703130045e-31,6.87008844163312e-05,0.000136374616616617,FALSE
"RSV_genus201","Olsenella","Actinobacteria",2.9501855345582e-60,4.15484462783613e-59,3.92201328349626e-05,0.000190037924924925,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.001876856704483,0.00406652285971317,2.1334847613571e-06,2.15118918918919e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",2.30603122257956e-18,8.85725628672605e-18,3.85225014376078e-06,1.36985465465466e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",1.40890293651299e-09,4.25186779054812e-09,0.00145886595514664,0.00232845041841842,TRUE
"RSV_genus233","Phocaeicola","Bacteroidetes",8.48630504446035e-92,4.78061850837933e-90,2.5528201840138e-05,0.000168689363363363,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.57716225667216,0.645963055480762,0.000107501133985049,8.26321421421422e-06,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",6.92405462368104e-36,4.58987147551915e-35,6.42014491086831e-06,4.91608238238238e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0146639686081261,0.0255485638636423,0.000114844124209316,6.9162965965966e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",2.84514342601557e-22,1.29953848377468e-21,0.0146088085146636,0.0214993706476476,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",1.36647625239283e-51,1.44334054158993e-50,0.000649868285221392,0.0013853818058058,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.000680481538785097,0.00151317605335107,0.0216884761673376,0.0240390513493493,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",2.53503160441162e-08,6.9100055023478e-08,0.0224970387032777,0.026060380984985,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",3.07960756584223e-11,9.46279415686068e-11,0.00140885055261645,0.00173900827027027,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0797623758607061,0.117216013221385,0.00625872606210466,0.00541992822522523,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.000810546809729355,0.00177899234862677,0.0762661642472686,0.0817388418478478,TRUE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.0161031031126359,0.0275823720506591,0.000340551119608971,9.32943293293293e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.308381034639856,0.391852592888238,0.000186711968372628,5.81909069069069e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",5.69355163451029e-07,1.37458603747463e-06,1.55048217366302e-05,2.44131921921922e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.19661899821441e-07,3.15982204215992e-07,0.00593138869925245,0.00439603129629629,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.507536376869209,0.579551673587137,0.0030323428625647,0.00289740893093093,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.891051141933288,0.904209846135341,1.14394571592869e-05,5.91699299299299e-06,FALSE
