"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.053046122833745,0.0953701570096053,0.0257722641022364,0.0282030723936545,0.0261678789929623,0.0257796593029586,0.0267527876858407,0.0245531375814978,0.0274001588472058,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.299726540370494,0.395732697832917,5.19032747603834e-05,4.96118166862515e-05,3.41327683941139e-05,3.4561801183432e-05,3.57227064896755e-05,2.46103656387665e-05,3.84910589483613e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",2.45615014434279e-16,1.97661606854253e-15,1.87373785942492e-05,5.09582444183314e-05,3.81709673704415e-05,5.40913585798817e-05,4.06088997050147e-05,2.85235242290749e-06,5.79396628153737e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.070558535501732,0.124212421872841,0.000289031292332268,0.00032262476733255,0.000366374067178503,0.000297376771597633,0.000265706458702065,0.000237538775330397,0.000344579804998821,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.74734594484246e-10,7.38253661695937e-10,0.00060926867571885,0.000877102653349002,0.00085193972552783,0.000879771711242603,0.000892841266961652,0.000593143052863436,0.000705226394954021,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.00698004735758093,0.0145633086843355,3.19799664536741e-05,2.83182279670975e-05,7.1755310940499e-05,2.63302568047337e-05,4.48627802359882e-05,2.12828237885463e-05,5.70281836830936e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.00407915954365524,0.00872630332756627,3.25767364217252e-05,8.77377685076381e-05,7.66351887396033e-05,2.88770579881657e-05,5.5205203539823e-05,3.90183215859031e-05,3.69222315491629e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",3.70379219832949e-10,1.49033543218496e-09,0.000145039400958466,0.000387041052878966,0.00027769556621881,0.000269424047337278,0.000160700541297935,0.000424126290748899,0.000147244421834473,FALSE
"RSV_genus51","Scardovia","Actinobacteria",3.14518533647695e-08,1.10736733721793e-07,0.00134817673801917,0.0013855870693302,0.00168293787523992,0.00145426141301775,0.00137384437315634,0.00183367137885463,0.00151719702027824,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.303162214632455,0.397166002115387,0.0047065688514377,0.00512333988484136,0.0049270103915547,0.00465274626153847,0.00478453042477876,0.00452027017621145,0.00505010712426315,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.0781433481542098,0.133396220586479,0.000875916410543131,2.8135920094007e-05,2.70751925783749e-05,0.000577603,2.14507831858407e-05,2.27588942731278e-05,0.000112789800754539,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.16125099971906,0.241162999579834,8.50530335463259e-05,0.000134661663924794,5.91927191298784e-05,0.000217317023668639,5.14355368731563e-05,2.23912907488987e-05,0.000289140599151144,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.410730415740323,0.499377268058379,5.39480990415335e-06,2.57322455934195e-05,6.16428278950736e-06,5.46884556213018e-05,3.43469469026549e-06,4.93760352422908e-06,1.52042688045272e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.000854998642163376,0.0020068718128557,0.108145841589457,0.104747499743831,0.107272695025592,0.106144870492308,0.107436764855457,0.112059279845815,0.1126556465112,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.0309837907125517,0.058180673671347,8.2696054313099e-06,1.7112839012926e-05,1.12725143953935e-05,2.39307195266272e-05,5.50313274336283e-06,4.543859030837e-06,1.04599952841311e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.280374649248849,0.373096974197287,8.38631150159744e-06,7.60314806110459e-06,4.94733653230966e-06,6.39314556213018e-06,8.17554572271386e-06,4.58977973568282e-06,7.45429544918651e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.498058853538147,0.596964157786857,0.00623844741533546,0.00673563307755581,0.00669045827959053,0.00641602446745562,0.00636992745132743,0.00617094962555066,0.0062604787234143,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",3.43345744483383e-11,1.56825488696464e-10,8.75377044728435e-05,0.000105361467685076,0.000112224069737684,0.000104104280473373,9.22785132743363e-05,0.000138229281938326,8.71887592548927e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",1.97552565255928e-14,1.33545534113007e-13,0.000143699185303514,0.000119452062279671,0.000157580673704415,0.000131443189349112,0.000121558851032448,0.00010571522907489,9.28422848384816e-05,FALSE
