"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoker","Former.smoker","Current.smoker","in_top_panel"
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.376103245617236,0.470825544513429,0.00108434409804792,0.000736573434235977,0.000718363627569529,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.63463872343683,0.710291021594862,2.23670887311446e-05,3.26229255319149e-05,0.000554304091898428,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.012930333348423,0.0212157896687716,0.00015420143877551,0.000120126637330754,0.000112212399032648,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",4.48157436131678e-49,7.57386067062535e-48,0.00560345318145518,0.00259034197969052,0.00481147939177751,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",3.97714744532821e-21,2.40049256521596e-20,0.00607785015971606,0.00354339807059962,0.00510783850544135,TRUE
"RSV_genus1233","Haemophilus","Proteobacteria",1.0292865530671e-58,2.89915712447232e-57,0.0601957088385093,0.0366066699197292,0.0555155804885127,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",7.28360360109013e-39,1.02577417382019e-37,0.0016186605931677,0.000338300414893617,0.00114590043530834,TRUE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.153677865613329,0.212881633513546,0.000716016859804792,0.00107759938878143,0.000296804372430472,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",8.07162909618863e-05,0.000174885297084087,0.000405378214285714,0.000254391944874275,0.000276357984280532,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.980380254427439,0.982162842333881,2.9928565661047e-05,8.06766150870406e-06,0.00040796384280532,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.817186818345685,0.870814514184006,0.000651301947204968,0.000877092954545455,0.00229735462031439,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.534080136219217,0.614010496741821,3.22903859804791e-05,9.49382843326886e-05,8.98571825876663e-06,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.253064862002629,0.331534586654607,0.00056287643877551,0.000199833852998066,0.000484154125755744,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.831234425192806,0.873535407383114,1.16296792369122e-05,1.98911740812379e-05,2.50280120918984e-05,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.00743096990549056,0.012558339140279,3.4080945430346e-05,3.02306479690522e-05,3.40221632406288e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",2.69708275017246e-24,1.89919576991311e-23,0.00431603363975154,0.00711844299323018,0.00403927479927448,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",5.59038666732558e-27,4.29443339444556e-26,0.00050782035581189,0.00106783460348162,0.000497990241837969,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",5.97676956451262e-07,1.48540302412152e-06,1.35906694764863e-05,2.70115309477756e-05,1.35822648125756e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.00018353281264623,0.000387713066715162,0.000220649907275954,0.00048154163926499,0.000155683249093108,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",2.79555189116835e-32,2.95280168504657e-31,0.000673805106477372,0.0012098622311412,0.000512476448609432,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.69589968508307,0.768673508359731,8.54239973380657e-06,6.33632108317215e-06,4.93686577992745e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.107419103558916,0.155160927362878,0.000167041949866903,0.000153372645067698,0.000116421746070133,FALSE
