"genus","cluster","phylum","mean_abundance","sd_abundance","age_group_14-19","age_group_20-24","age_group_25-29","age_group_30-34","age_group_35-39","age_group_40-44","age_group_45-49","age_group_50-54","age_group_55-59","age_group_60-64","age_group_65-69"
"Mobiluncus","d","Actinobacteria",2.62416351275037e-16,1,0.479761835099808,1.69171391999894,1.32480472530438,0.666015359679287,-0.0981649258413091,0.24869881984274,-1.0432472214088,-0.070555378859724,-1.10688689988846,-0.790439226348016,-1.30170100757884
"Alloscardovia","h","Actinobacteria",-1.00929365875014e-16,1,-1.51508513593974,-1.09764020819675,-0.980870504334743,0.0993303089046546,-0.822962418231593,-0.261306385238706,0.917613533177795,0.776014493786423,0.673366599739118,0.637212630107623,1.57432708622592
"Bifidobacterium","h","Actinobacteria",-1.81672858575026e-16,1,-1.87511051681176,-1.35423808507093,-0.683707699694905,-0.704632796681478,0.414416602704834,0.519287833906978,0.608386596962732,0.626055119872154,0.273583108248952,0.946015838153836,1.22994399840959
"Parascardovia","h","Actinobacteria",0,1,-2.45026922918514,-0.931889184304572,0.283450496921628,-0.393927568399365,0.691986242080767,-0.104052319505135,0.706210058381549,0.340875727748763,0.651489576347952,0.0392233561312401,1.16690284378231
"Scardovia","b","Actinobacteria",7.97341990412612e-16,1,-1.13585954567526,0.751706345970691,0.422227104394186,-0.010802702655556,-0.591246016708248,-0.115709746771082,2.57868781713044,-0.540765997634468,-0.61117507245815,-0.439723962143594,-0.307338223448952
"Corynebacterium","c","Actinobacteria",-3.43159843975048e-16,1,1.81035336070749,1.62925028819576,0.119295883819743,-0.527901866495917,0.565629315787501,-0.0283550220330595,-0.54529438376552,-0.341907012685301,-1.0276402513249,-0.271150113107485,-1.38228019909831
"Rothia","h","Actinobacteria",-1.4130111222502e-16,1,-1.39987658707367,-1.21897522216914,-1.15855263597717,-0.344250563307557,-0.199034694194535,0.0643912902175405,0.267616976417168,0.26856805964239,0.979526810211718,1.06101714749904,1.67956941873421
"Atopobium","h","Actinobacteria",-1.33226762955019e-15,1,-1.87410267939453,-0.430519147552938,0.433160037659431,0.849576376362928,-0.358475182202493,-0.087625276575911,-0.30416171681433,-0.407916571350127,-0.588094703512885,0.743499724740152,2.02465913864069
"Cryptobacterium","h","Actinobacteria",4.03717463500057e-17,1,-1.93172888376854,-0.506864127438178,-0.357566181380269,0.393834077685301,-0.632997324957149,0.261028732628041,-0.467346102576207,0.235246877341856,-0.0662126762651422,1.17495698408599,1.8976486246443
"Olsenella","f","Actinobacteria",-1.00929365875014e-16,1,-2.23256295069688,-0.279185125534427,0.384128128599443,1.53275058937404,0.983606849497263,0.681442638059175,0.0251303690684395,0.435596071530611,-0.430965563076404,-0.431752175048341,-0.668188831772928
"Slackia","h","Actinobacteria",3.38113375681298e-16,1,-1.90227808998364,-0.980659374020377,0.776448770737905,-0.0258609170905945,-0.117379146804984,2.12340695398285,0.123783002630923,0.00511061691159103,-0.196826739162697,-0.234920894011884,0.429175816810909
"Bacteroides","a","Bacteroidetes",4.74368019612567e-16,1,0.9518698983292,-0.995630648172124,-0.204813527741071,-1.00680203874231,-1.39234602381954,0.718927198800332,-0.247920569278741,1.9697042659673,0.715321375178639,-0.185209519687913,-0.323100410833769
"Phocaeicola","f","Bacteroidetes",-3.10988608602388e-16,1,-2.30151557556462,-0.561051839602547,-0.510745402976654,0.037701442575268,1.05045458353596,1.59248702249826,0.527482046852213,0.425869941121375,-0.0651397184586556,-0.139787558184967,-0.0557549417956289
"Porphyromonas","d","Bacteroidetes",1.29189588320018e-15,1,-0.0792218338994519,-0.0492174484665415,1.28400140357159,0.00455027343221393,0.941227567281353,0.626811080233128,0.210362730543001,0.58586583622339,0.0730442407149135,-1.4822756151023,-2.11514823453128
"Tannerella","f","Bacteroidetes",-2.62416351275037e-16,1,-2.12340139987442,-0.769894281274835,0.181723966907461,0.356073323811155,1.10852760336289,1.07600989327029,0.38259614168458,1.19218188618375,-0.273061430041019,-0.377704588456316,-0.753051115573534
"Alloprevotella","c","Bacteroidetes",2.22044604925031e-16,1,1.31601451163168,1.68740466148865,1.00041362288792,0.292754180869832,-0.0208309922363244,0.0268932027457242,-0.263376821592903,-0.676349505146837,-0.981490314792705,-1.13016883215675,-1.25126371369829
"Prevotella","d","Bacteroidetes",-7.46877307475105e-16,1,-0.83067241302526,1.24338547175028,1.23414315482946,0.49262004061034,0.463491752956319,0.500673513807988,-0.0318234291209968,0.219141632412314,-0.0400129694008356,-1.31104589561577,-1.93990085920385
"Prevotella_2","e","Bacteroidetes",8.88178419700125e-16,1,-0.133491143936486,0.165458262164278,0.339461506884531,1.95541322747323,-0.438586803103778,-0.429766906120393,-0.39552659999991,1.69576852412438,-0.719009165834813,-0.950601306676706,-1.08911959497432
"Prevotella_6","h","Bacteroidetes",2.42230478100034e-16,1,-0.774312758868418,-1.09125355420408,-1.19124800612427,-0.3822996958779,-0.863062969217825,-0.270513050538541,0.212587820749515,0.531947012786555,0.649922283086148,1.70132862821248,1.47690428999633
"Prevotella_7","h","Bacteroidetes",3.35085494705047e-15,1,-1.71705176634558,-0.428084328233624,-0.731836335659974,0.331470043998116,-0.746727667532734,-0.962133730277865,0.430230041362289,0.381864402657337,0.595212116549682,1.39477524788498,1.45228197559741
"Bergeyella","c","Bacteroidetes",-2.32137541512533e-16,1,2.16559771445527,1.37175592143816,0.494258673323222,0.243717615721753,-0.0909022417024877,-0.342439348874901,-0.692414388274558,-0.811544793316885,-0.701764185147209,-0.940723803312079,-0.695541164310281
"Capnocytophaga","h","Bacteroidetes",-4.03717463500057e-16,1,-0.615370806868689,-0.615452719823321,-1.31151377787432,-1.13938274261985,-0.370412192705376,1.59884681741041,-0.311538670368858,-0.227737338233221,0.571097769719906,0.961791551355206,1.45967211000811
"Gemella","c","Firmicutes",-2.89162633231916e-15,1,2.53439491768464,0.744852108016911,0.719409476425388,-0.0883120596109787,-0.201246218568085,-0.545282223675941,-0.508422158850218,-0.965856699961375,-0.555683436317024,-0.656054652970166,-0.477799052173187
"Abiotrophia","c","Firmicutes",-6.45947941600091e-16,1,2.48386812478178,1.18279893044946,0.195239799419908,-0.526770519827092,-0.41718647522843,-0.903311396365124,-0.780289889030732,-0.472546227989321,-0.381403526006951,0.00446890486042474,-0.38486772506393
"Granulicatella","c","Firmicutes",1.53917282959397e-15,1,2.3628369983029,0.886469334181056,0.849053570533008,-0.102039807044527,0.0301103520629065,-0.822593671974422,-0.968280293545997,-0.689925413839547,-0.558962218102954,-0.562407189580853,-0.424261660991548
"Lactobacillus","h","Firmicutes",-1.81672858575026e-16,1,-1.85332428488408,-0.926360860282339,-0.962150351496334,-0.477571313674116,-0.0428231811441398,0.254734614124516,0.710197894612642,0.447927871765107,0.121538706675004,1.21194401023476,1.51588689406898
"Streptococcus","a","Firmicutes",2.26081779560032e-15,1,1.72328222536136,-0.219477242982065,0.276697867472856,-1.63906507857964,0.819059982150369,0.235410140414281,0.362558990384477,0.698630944167025,-0.603448711453412,-0.0712477538567965,-1.58240136307844
"Defluviitaleaceae_UCG-011","f","Firmicutes",5.04646829375071e-17,1,-1.97582712788059,-0.615760946229244,0.665267754110138,0.951702271837398,1.16794479835752,1.14608102381,0.551573638084722,-0.0842869411827656,-0.199121878156797,-0.958541497058794,-0.64903109569159
"Pseudoramibacter","f","Firmicutes",3.24235587873483e-16,1,-2.29957007923512,-1.20030391462195,0.601703784025224,0.34282150529286,0.850333640737208,1.06453578321717,-0.427427078733657,0.533822550799007,0.67256586472456,-0.0154995404295671,-0.122982515775738
"Parvimonas","f","Firmicutes",-5.95483258662584e-16,1,-2.62769428150629,-0.458667369742946,0.0817510974087359,0.79055129959479,0.597883114541561,0.788994484432196,0.28824356877027,0.899118187726312,0.294763196586519,-0.127025498578518,-0.527917799232632
"Peptoniphilus","h","Firmicutes",-4.44089209850063e-16,1,-1.1454570575846,-1.32940881251489,-0.132211756942683,0.582074381928057,1.17966579815448,0.655809855330281,-0.771154250507433,-0.677220690646067,-0.786552430745096,0.955664196520993,1.46879076700695
"Family_XIII_UCG-001","d","Firmicutes",-6.05576195250085e-17,1,-1.3084904543386,0.639654126543978,1.44859451479521,1.148586110887,0.520177220737795,0.817845377002954,0.0745869912612655,-0.220493343682215,-0.71351816696936,-1.02798714968663,-1.3789552265514
"Incertae_Sedis","f","Firmicutes",2.01858731750028e-17,1,-1.6072824694328,-0.128670551331011,0.3952288462571,1.08272878465169,1.03740963181838,1.17618605178994,0.457688422019377,0.337204363490519,-0.207477956706724,-1.3497750012838,-1.19324012127267
"Mogibacterium","h","Firmicutes",-9.48736039225134e-16,1,-2.45501279660202,-1.3243679074486,0.00974941776962693,0.31507361319508,0.323668758060915,0.291224636280547,0.445497935673445,0.259757853606398,0.843568443578418,0.401147794263751,0.889692251622426
"[Eubacterium]_brachy_group","d","Firmicutes",6.86319687950097e-16,1,-1.70856635920286,0.138129350435781,1.00703236150352,1.14158483972836,1.17096449232156,0.700206295923998,0.198940928807136,0.042671741174186,-0.367113141373187,-1.21951619213086,-1.10433431718763
"[Eubacterium]_nodatum_group","h","Firmicutes",-1.27171001002518e-15,1,-2.37313742153233,-0.280213188780912,0.834390289087307,0.688562427553333,-0.152923540307252,1.08531410862105,-0.400143572527858,-0.681018479768117,0.0704053867975693,0.075861185556791,1.1329028053004
"Butyrivibrio_2","i","Firmicutes",4.84460956200068e-16,1,-0.42082539060077,-0.615758268964117,-0.0121217279515724,0.562809607813068,-0.662875906303835,-1.15830121581864,-0.624495187640433,-0.671219463810292,0.671865955391579,0.527725334193734,2.40319626369129
"Catonella","d","Firmicutes",4.84460956200068e-16,1,-0.812895434376619,1.22555204849304,1.4150727429348,0.790782851855329,0.709228850537276,0.398208372729397,-0.337234385157085,0.0929404995681872,-0.654682135810332,-1.39094415096823,-1.43602925980576
"Howardella","f","Firmicutes",2.01858731750028e-17,1,-2.33330252794361,-0.659127976928101,0.772489213928196,0.960732816475325,0.888221810590844,0.813088716550396,0.533587969581545,0.0702489115055927,0.0279460000284039,-0.159845124178087,-0.914039809610509
"Johnsonella","d","Firmicutes",1.39787171736895e-15,1,0.316987588928693,0.641126924516786,2.27009379787001,0.663950228486611,0.305980800743777,-0.314032150633252,-0.522190660792969,-0.803848092153441,-1.0332511658696,-1.28828042014417,-0.236536850952435
"Shuttleworthia","d","Firmicutes",1.51394048812521e-16,1,-1.47412991875154,0.842727764790451,1.88137124515075,0.154606402464549,1.20894438119303,0.199540948945777,-0.447936419307505,-0.359531651678156,-1.10847380339804,-0.235379425930646,-0.661739523478667
"Stomatobaculum","h","Firmicutes",0,1,-1.17718690955691,-0.899584209115536,-0.810923168675082,-0.487065701926194,-0.429177965997953,-0.535627941485132,-0.235616334981096,2.04294964413454,0.751052552686096,0.718079977281853,1.06310005763541
"Peptococcus","d","Firmicutes",-2.01858731750028e-17,1,-1.03321415032541,0.678959973104832,0.952385557847748,1.27484124242601,0.789247232748789,1.02869006747767,-0.511816511096607,-0.0789558271836396,-0.519669133260201,-0.848389177226212,-1.73207927451298
"Filifactor","f","Firmicutes",-6.45947941600091e-16,1,-1.84554653785284,-0.186135469662071,0.684441750267431,0.796007289804535,0.949199098224266,1.30934768061412,0.581436409975848,0.115833610187053,-0.189150104310097,-1.12378524644591,-1.09164848080233
"Peptoclostridium","d","Firmicutes",4.03717463500057e-16,1,0.135194433494908,1.52629168786884,1.21203485312359,0.803745537172949,0.413918127994064,0.219617670017682,-0.149202511097656,-0.344876766496593,-0.822386119245509,-1.40493624667624,-1.58940066615603
"Peptostreptococcus","d","Firmicutes",-2.01858731750028e-17,1,-0.535572481887723,0.826725804367089,1.98651216989513,0.642081092458034,0.060003610184507,0.825033702012616,-0.180544595746876,-0.536342955313974,-0.509602043436204,-1.0852456146927,-1.4930486878399
"Bulleidia","d","Firmicutes",4.2390333667506e-16,1,-1.36213271416144,0.409210477561066,0.892555507566734,1.28339369424059,1.01933972357807,0.82219254507,0.348401309698147,-0.303578983081894,-0.552751152609838,-1.40296564084845,-1.15366476701297
