"14-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","genus","cluster","phylum"
-0.456976300883256,1.59151613202739,0.028893670157554,1.18603287439667,-0.523777833711676,-0.980630553171395,-0.74671618129678,-0.538560240567984,-1.11782558469571,-0.0283948385967363,1.58643885634195,"RSV_genus35","i","Actinobacteria"
0.479761835099808,1.69171391999894,1.32480472530438,0.666015359679287,-0.0981649258413091,0.24869881984274,-1.0432472214088,-0.070555378859724,-1.10688689988846,-0.790439226348016,-1.30170100757884,"RSV_genus38","d","Actinobacteria"
-1.51508513593974,-1.09764020819675,-0.980870504334743,0.0993303089046546,-0.822962418231593,-0.261306385238706,0.917613533177795,0.776014493786423,0.673366599739118,0.637212630107623,1.57432708622592,"RSV_genus44","h","Actinobacteria"
-1.87511051681176,-1.35423808507093,-0.683707699694905,-0.704632796681478,0.414416602704834,0.519287833906978,0.608386596962732,0.626055119872154,0.273583108248952,0.946015838153836,1.22994399840959,"RSV_genus45","h","Actinobacteria"
-2.45026922918514,-0.931889184304572,0.283450496921628,-0.393927568399365,0.691986242080767,-0.104052319505135,0.706210058381549,0.340875727748763,0.651489576347952,0.0392233561312401,1.16690284378231,"RSV_genus49","h","Actinobacteria"
-1.13585954567526,0.751706345970691,0.422227104394186,-0.010802702655556,-0.591246016708248,-0.115709746771082,2.57868781713044,-0.540765997634468,-0.61117507245815,-0.439723962143594,-0.307338223448952,"RSV_genus51","b","Actinobacteria"
1.81035336070749,1.62925028819576,0.119295883819743,-0.527901866495917,0.565629315787501,-0.0283550220330595,-0.54529438376552,-0.341907012685301,-1.0276402513249,-0.271150113107485,-1.38228019909831,"RSV_genus52","c","Actinobacteria"
-1.39987658707367,-1.21897522216914,-1.15855263597717,-0.344250563307557,-0.199034694194535,0.0643912902175405,0.267616976417168,0.26856805964239,0.979526810211718,1.06101714749904,1.67956941873421,"RSV_genus135","h","Actinobacteria"
-1.87410267939453,-0.430519147552938,0.433160037659431,0.849576376362928,-0.358475182202493,-0.087625276575911,-0.30416171681433,-0.407916571350127,-0.588094703512885,0.743499724740152,2.02465913864069,"RSV_genus193","h","Actinobacteria"
-1.93172888376854,-0.506864127438178,-0.357566181380269,0.393834077685301,-0.632997324957149,0.261028732628041,-0.467346102576207,0.235246877341856,-0.0662126762651422,1.17495698408599,1.8976486246443,"RSV_genus196","h","Actinobacteria"
-2.23256295069688,-0.279185125534427,0.384128128599443,1.53275058937404,0.983606849497263,0.681442638059175,0.0251303690684395,0.435596071530611,-0.430965563076404,-0.431752175048341,-0.668188831772928,"RSV_genus201","f","Actinobacteria"
-1.90227808998364,-0.980659374020377,0.776448770737905,-0.0258609170905945,-0.117379146804984,2.12340695398285,0.123783002630923,0.00511061691159103,-0.196826739162697,-0.234920894011884,0.429175816810909,"RSV_genus204","h","Actinobacteria"
0.9518698983292,-0.995630648172124,-0.204813527741071,-1.00680203874231,-1.39234602381954,0.718927198800332,-0.247920569278741,1.9697042659673,0.715321375178639,-0.185209519687913,-0.323100410833769,"RSV_genus231","a","Bacteroidetes"
-2.30151557556462,-0.561051839602547,-0.510745402976654,0.037701442575268,1.05045458353596,1.59248702249826,0.527482046852213,0.425869941121375,-0.0651397184586556,-0.139787558184967,-0.0557549417956289,"RSV_genus233","f","Bacteroidetes"
