"cluster","n_genera","bubble","a_raw","b_raw","c_raw","a","b","c","x","y","cluster_chr"
"a",4,0.256722131243891,0.3477797135089,0.0116653258246179,0.0056497175141243,0.952573837301181,0.0319515019205985,0.0154746607782209,0.0396888323097089,0.013401449348886,"a"
"b",4,0.416666666666667,0.5,0,0,1,0,0,0,0,"b"
"c",14,0.480335708927232,0.309440559440559,0.0951827242524917,0.125,0.584265399517252,0.179717786553463,0.236016813929285,0.297726193518105,0.204396556583026,"c"
"d",20,0.0953621031746032,0.636864927279874,0.306802721088435,0.0763888888888889,0.624342773188163,0.300770310156914,0.0748869166549227,0.338213768484376,0.0648539722342511,"d"
"e",3,0.252949852507375,0.666666666666667,0.5,0,0.571428571428571,0.428571428571429,0,0.428571428571429,0,"e"
"f",15,0.0468969884604559,0.507936507936508,0.278459821428571,0.025,0.626002964955449,0.34318595161315,0.030811083431401,0.35859149332885,0.0266831809697151,"f"
"g",3,1,0.015625,1,0,0.0153846153846154,0.984615384615385,0,0.984615384615385,0,"g"
"h",21,0.253484074766069,0.644244031830239,0.189117524372662,0.0425286519036519,0.735530578910029,0.215914646176357,0.0485547749136137,0.240192033633164,0.0420496685502248,"h"
"i",9,0.321598117252766,0.576036866359447,0.280495169082126,0,0.672522267147287,0.327477732852713,0,0.327477732852713,0,"i"
