"cluster","n_genera","bubble","a_raw","b_raw","c_raw","a","b","c","x","y","cluster_chr"
"a",4,0.3477797135089,0.256722131243891,0.0116653258246179,0.0056497175141243,0.936814983714843,0.0425684064302024,0.0206166098549549,0.0528767113576798,0.0178545078743035,"a"
"b",4,0.5,0.416666666666667,0,0,1,0,0,0,0,"b"
"c",14,0.309440559440559,0.480335708927232,0.0951827242524917,0.125,0.685686037906154,0.135874689007751,0.178439273086095,0.225094325550798,0.154532943525387,"c"
"d",20,0.636864927279874,0.0953621031746032,0.306802721088435,0.0763888888888889,0.199271472676523,0.641104044659317,0.159624482664159,0.720916285991397,0.138238857053111,"d"
"e",3,0.666666666666667,0.252949852507375,0.5,0,0.335945151811949,0.664054848188051,0,0.664054848188051,0,"e"
"f",15,0.507936507936508,0.0468969884604559,0.278459821428571,0.025,0.133854936272853,0.794789236483719,0.0713558272434281,0.830467150105433,0.0617959591008624,"f"
"g",3,0.015625,1,1,0,0.5,0.5,0,0.5,0,"g"
"h",21,0.644244031830239,0.253484074766069,0.189117524372662,0.0425286519036519,0.52250725289016,0.389828348090665,0.0876643990191747,0.433660547600253,0.0759195965581009,"h"
"i",9,0.576036866359447,0.321598117252766,0.280495169082126,0,0.534133371940456,0.465866628059544,0,0.465866628059544,0,"i"
