Variable,NHANES_Code,Description,Cases_N,Cases_Percent,Controls_N,Controls_Percent,Total_N,Prevalence,Prevalence_95CI
ORAL_HYGIENE_OHAROCOH,ORAL_HYGIENE_OHAROCOH,Variable: ORAL_HYGIENE_OHAROCOH,2578,36.1%,4568,63.9%,7146,36.1%,(35.0%-37.2%)
GUM_DISEASE_OHAROCGP,GUM_DISEASE_OHAROCGP,Variable: GUM_DISEASE_OHAROCGP,1597,22.3%,5549,77.7%,7146,22.3%,(21.4%-23.3%)
TOOTH_DECAY_OHAROCDT,TOOTH_DECAY_OHAROCDT,Variable: TOOTH_DECAY_OHAROCDT,1584,22.2%,5561,77.8%,7145,22.2%,(21.2%-23.1%)
DENTURE_OHAROCDE,DENTURE_OHAROCDE,Variable: DENTURE_OHAROCDE,169,2.4%,6976,97.6%,7145,2.4%,(2.0%-2.7%)
