"AGE_SQUARED","BORN_INUSA","EDUCATION_9_11","EDUCATION_AA","EDUCATION_COLLEGEGRAD","EDUCATION_LESS9","ETHNICITY_MEXICAN","ETHNICITY_NONHISPANICBLACK","ETHNICITY_OTHER","ETHNICITY_OTHERHISPANIC","INDFMPIR","RIAGENDR","RIDAGEYR","var_name"
0,1.86708744693289e-15,8.45344172832328e-08,1.28163753616566e-12,0.00139190851963855,2.96353899129945e-12,1.0734833701207e-26,0.073473960760989,6.59668161598584e-07,2.01853152032648e-27,1.4183248271514e-05,0.00282935519158555,1.70609815902305e-182,"AGE_SQUARED"
1.86708744693289e-15,0,8.2316700048117e-14,1.88733840016074e-15,1.09433216487502e-10,3.59999667106884e-22,1.164236465881e-93,1.24825744733541e-11,4.30635487218454e-26,2.93746583828709e-72,3.67091606084426e-18,9.83156138474325e-18,1.9609542264604e-10,"BORN_INUSA"
8.45344172832328e-08,8.2316700048117e-14,0,0.0374807174916967,2.40165376996655e-78,1.42493503337516e-07,7.74512548971786e-23,9.95041030848967e-46,0.681468665746372,8.09737431666007e-13,1.1437495149393e-75,1.61592962412952e-20,0.000111564292149656,"EDUCATION_9_11"
1.28163753616566e-12,1.88733840016074e-15,0.0374807174916967,0,0.436608537924298,5.35687965665857e-23,1.21627418253264e-18,0.50192384012625,2.96311263165924e-07,3.1373093639403e-14,0.23172769643636,0.00448470070706906,7.8033653016784e-13,"EDUCATION_AA"
0.00139190851963855,1.09433216487502e-10,2.40165376996655e-78,0.436608537924298,0,0.000946853554872544,3.33904756733585e-15,5.38668230301804e-58,0.0423407983938946,1.80540657898378e-09,9.58060368653821e-109,1.50349605587625e-29,0.125104594354854,"EDUCATION_COLLEGEGRAD"
2.96353899129945e-12,3.59999667106884e-22,1.42493503337516e-07,5.35687965665857e-23,0.000946853554872544,0,3.28162790122418e-27,0.0279608983391445,9.0328359929618e-10,2.6682496042679e-20,5.57579802124907e-07,0.111223555800206,1.98582907943594e-12,"EDUCATION_LESS9"
1.0734833701207e-26,1.164236465881e-93,7.74512548971786e-23,1.21627418253264e-18,3.33904756733585e-15,3.28162790122418e-27,0,3.4616602194981e-15,6.54004736338599e-12,2.89173926442392e-69,4.56204847211781e-23,1.96303467728895e-20,9.97875176760069e-20,"ETHNICITY_MEXICAN"
0.073473960760989,1.24825744733541e-11,9.95041030848967e-46,0.50192384012625,5.38668230301804e-58,0.0279608983391445,3.4616602194981e-15,0,0.115391266650591,2.34726456638558e-12,1.38608526639211e-56,2.20728079517754e-35,0.740122317483174,"ETHNICITY_NONHISPANICBLACK"
6.59668161598584e-07,4.30635487218454e-26,0.681468665746372,2.96311263165924e-07,0.0423407983938946,9.0328359929618e-10,6.54004736338599e-12,0.115391266650591,0,8.25555590572668e-15,0.681411443155165,0.436608537924298,9.10721921413985e-07,"ETHNICITY_OTHER"
2.01853152032648e-27,2.93746583828709e-72,8.09737431666007e-13,3.1373093639403e-14,1.80540657898378e-09,2.6682496042679e-20,2.89173926442392e-69,2.34726456638558e-12,8.25555590572668e-15,0,1.3407007038499e-16,6.10963251097296e-15,8.69433972734676e-21,"ETHNICITY_OTHERHISPANIC"
1.4183248271514e-05,3.67091606084426e-18,1.1437495149393e-75,0.23172769643636,9.58060368653821e-109,5.57579802124907e-07,4.56204847211781e-23,1.38608526639211e-56,0.681411443155165,1.3407007038499e-16,0,9.36704718976412e-33,0.00967006778854601,"INDFMPIR"
0.00282935519158555,9.83156138474325e-18,1.61592962412952e-20,0.00448470070706906,1.50349605587625e-29,0.111223555800206,1.96303467728895e-20,2.20728079517754e-35,0.436608537924298,6.10963251097296e-15,9.36704718976412e-33,0,0.216671597055884,"RIAGENDR"
1.70609815902305e-182,1.9609542264604e-10,0.000111564292149656,7.8033653016784e-13,0.125104594354854,1.98582907943594e-12,9.97875176760069e-20,0.740122317483174,9.10721921413985e-07,8.69433972734676e-21,0.00967006778854601,0.216671597055884,0,"RIDAGEYR"
