"AGE_SQUARED","BORN_INUSA","EDUCATION_9_11","EDUCATION_AA","EDUCATION_COLLEGEGRAD","EDUCATION_LESS9","ETHNICITY_MEXICAN","ETHNICITY_NONHISPANICBLACK","ETHNICITY_OTHER","ETHNICITY_OTHERHISPANIC","INDFMPIR","RIAGENDR","RIDAGEYR","var_name"
1,0.509315328640004,-0.357029670315014,0.460570286305352,0.219603325638827,-0.453439279708879,-0.647204439998414,-0.125799611261282,-0.332732267493421,-0.654523784496516,0.293069747160857,0.205742419628351,0.989524743893632,"AGE_SQUARED"
0.509315328640004,1,-0.481707894580967,0.509033744019475,0.422784988788837,-0.599277102986512,-0.92810929619467,-0.441440631288596,-0.641175494946882,-0.883401390568543,0.548572740138742,0.542583524872726,0.417435505823923,"BORN_INUSA"
-0.357029670315014,-0.481707894580967,1,-0.145615808563925,-0.898722199493437,0.351044439597471,0.606923693468056,0.782938614021142,-0.0287016292498509,0.464300371730933,-0.892217187603948,-0.579575373476237,-0.26276456698061,"EDUCATION_9_11"
0.460570286305352,0.509033744019475,-0.145615808563925,1,-0.0554483268569357,-0.608915449443956,-0.555131971404793,-0.0476891886005066,-0.34253137635086,-0.488802634436725,0.0843206974499913,0.196136845592589,0.46477737442554,"EDUCATION_AA"
0.219603325638827,0.422784988788837,-0.898722199493437,-0.0554483268569357,1,-0.226930759314961,-0.505025305162204,-0.837927276226998,0.141923158695042,-0.396541641042158,0.948532755090703,0.673699243216396,0.107614969780699,"EDUCATION_COLLEGEGRAD"
-0.453439279708879,-0.599277102986512,0.351044439597471,-0.608915449443956,-0.226930759314961,1,0.652294366050572,0.153654856799872,0.403285868520448,0.576497970309187,-0.334943988366743,-0.112443252630643,-0.456966123395288,"EDUCATION_LESS9"
-0.647204439998414,-0.92810929619467,0.606923693468056,-0.555131971404793,-0.505025305162204,0.652294366050572,1,0.504582671640518,0.446908619858364,0.87503351144491,-0.609928173210275,-0.578331566289177,-0.569224393819271,"ETHNICITY_MEXICAN"
-0.125799611261282,-0.441440631288596,0.782938614021142,-0.0476891886005066,-0.837927276226998,0.153654856799872,0.504582671640518,1,-0.11076777458953,0.455465647764542,-0.832319871958288,-0.719663191358031,-0.0225397684663456,"ETHNICITY_NONHISPANICBLACK"
-0.332732267493421,-0.641175494946882,-0.0287016292498509,-0.34253137635086,0.141923158695042,0.403285868520448,0.446908619858364,-0.11076777458953,1,0.498293785081652,0.0295220379040914,0.0555675445859234,-0.328648304938031,"ETHNICITY_OTHER"
-0.654523784496516,-0.883401390568543,0.464300371730933,-0.488802634436725,-0.396541641042158,0.576497970309187,0.87503351144491,0.455465647764542,0.498293785081652,1,-0.526467573818263,-0.500543576438854,-0.583031531373415,"ETHNICITY_OTHERHISPANIC"
0.293069747160857,0.548572740138742,-0.892217187603948,0.0843206974499913,0.948532755090703,-0.334943988366743,-0.609928173210275,-0.832319871958288,0.0295220379040914,-0.526467573818263,1,0.699990352800547,0.179323483158303,"INDFMPIR"
0.205742419628351,0.542583524872726,-0.579575373476237,0.196136845592589,0.673699243216396,-0.112443252630643,-0.578331566289177,-0.719663191358031,0.0555675445859234,-0.500543576438854,0.699990352800547,1,0.0874693362533285,"RIAGENDR"
0.989524743893632,0.417435505823923,-0.26276456698061,0.46477737442554,0.107614969780699,-0.456966123395288,-0.569224393819271,-0.0225397684663456,-0.328648304938031,-0.583031531373415,0.179323483158303,0.0874693362533285,1,"RIDAGEYR"
