"DENTURE_OHAROCDE","GUM_DISEASE_OHAROCGP","ORAL_HYGIENE_OHAROCOH","TOOTH_DECAY_OHAROCDT","var_name"
219,219,219,219,"DENTURE_OHAROCDE"
219,219,219,219,"GUM_DISEASE_OHAROCGP"
219,219,219,219,"ORAL_HYGIENE_OHAROCOH"
219,219,219,219,"TOOTH_DECAY_OHAROCDT"
