"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"EducationLevel","Inverse_Simpson","9-11th Grade","College Graduate",0.0174491274759166,0.0174491274759166,TRUE
"EducationLevel","Inverse_Simpson","9-11th Grade","College/AA",0.225149486680476,0.225149486680476,FALSE
"EducationLevel","Inverse_Simpson","9-11th Grade","High School",0.544221733738689,0.544221733738689,FALSE
"EducationLevel","Inverse_Simpson","College Graduate","College/AA",0.126783992869098,0.126783992869098,FALSE
"EducationLevel","Inverse_Simpson","College Graduate","High School",0.000648407274249139,0.000648407274249139,TRUE
"EducationLevel","Inverse_Simpson","College/AA","High School",0.0465451861838729,0.0465451861838729,TRUE
"Ethnicity","Observed_OTUs","White","Black",6.51510756722682e-21,6.51510756722682e-21,TRUE
"Ethnicity","Observed_OTUs","White","Mexican American",1.68572426398191e-60,1.68572426398191e-60,TRUE
"Ethnicity","Observed_OTUs","White","Other",6.8830382927717e-06,6.8830382927717e-06,TRUE
"Ethnicity","Observed_OTUs","White","Other Hispanic",7.13668767054348e-15,7.13668767054348e-15,TRUE
"Ethnicity","Observed_OTUs","Black","Mexican American",3.73971561121269e-13,3.73971561121269e-13,TRUE
"Ethnicity","Observed_OTUs","Black","Other",0.00180838819265326,0.00180838819265326,TRUE
"Ethnicity","Observed_OTUs","Black","Other Hispanic",0.658778812674809,0.658778812674809,FALSE
"Ethnicity","Observed_OTUs","Mexican American","Other",6.51510756722682e-21,6.51510756722682e-21,TRUE
"Ethnicity","Observed_OTUs","Mexican American","Other Hispanic",1.13492667123996e-08,1.13492667123996e-08,TRUE
"Ethnicity","Observed_OTUs","Other","Other Hispanic",0.00175107889067159,0.00175107889067159,TRUE
"Ethnicity","Shannon_Diversity","White","Black",1.02698862904569e-08,1.02698862904569e-08,TRUE
"Ethnicity","Shannon_Diversity","White","Mexican American",2.65169298476644e-28,2.65169298476644e-28,TRUE
"Ethnicity","Shannon_Diversity","White","Other",7.74596622125163e-05,7.74596622125163e-05,TRUE
"Ethnicity","Shannon_Diversity","White","Other Hispanic",0.00237077534478003,0.00237077534478003,TRUE
"Ethnicity","Shannon_Diversity","Black","Mexican American",5.35806857308186e-07,5.35806857308186e-07,TRUE
"Ethnicity","Shannon_Diversity","Black","Other",0.500190610581925,0.500190610581925,FALSE
"Ethnicity","Shannon_Diversity","Black","Other Hispanic",0.215118105839089,0.215118105839089,FALSE
"Ethnicity","Shannon_Diversity","Mexican American","Other",3.82598958678015e-07,3.82598958678015e-07,TRUE
"Ethnicity","Shannon_Diversity","Mexican American","Other Hispanic",5.80809812183211e-08,5.80809812183211e-08,TRUE
"Ethnicity","Shannon_Diversity","Other","Other Hispanic",0.543355713356412,0.543355713356412,FALSE
"Ethnicity","Inverse_Simpson","White","Black",0.022966357852661,0.022966357852661,TRUE
"Ethnicity","Inverse_Simpson","White","Mexican American",1.07868795275431e-09,1.07868795275431e-09,TRUE
"Ethnicity","Inverse_Simpson","White","Other",0.233110967760307,0.233110967760307,FALSE
"Ethnicity","Inverse_Simpson","White","Other Hispanic",0.98596070809221,0.98596070809221,FALSE
"Ethnicity","Inverse_Simpson","Black","Mexican American",0.000378397989176207,0.000378397989176207,TRUE
"Ethnicity","Inverse_Simpson","Black","Other",0.622120995534251,0.622120995534251,FALSE
"Ethnicity","Inverse_Simpson","Black","Other Hispanic",0.131852349315924,0.131852349315924,FALSE
"Ethnicity","Inverse_Simpson","Mexican American","Other",0.000378397989176207,0.000378397989176207,TRUE
"Ethnicity","Inverse_Simpson","Mexican American","Other Hispanic",9.76716461179146e-06,9.76716461179146e-06,TRUE
"Ethnicity","Inverse_Simpson","Other","Other Hispanic",0.361340738301377,0.361340738301377,FALSE
"Marital_Status","Observed_OTUs","Divorced","Living with partner",2.1682368960041e-17,2.1682368960041e-17,TRUE
"Marital_Status","Observed_OTUs","Divorced","Married",0.313537895093656,0.313537895093656,FALSE
"Marital_Status","Observed_OTUs","Divorced","Never married",1.85506111486754e-06,1.85506111486754e-06,TRUE
"Marital_Status","Observed_OTUs","Divorced","Separated",9.69415694352488e-06,9.69415694352488e-06,TRUE
"Marital_Status","Observed_OTUs","Divorced","Widowed",0.0164074069828298,0.0164074069828298,TRUE
"Marital_Status","Observed_OTUs","Living with partner","Married",4.15756764281641e-24,4.15756764281641e-24,TRUE
"Marital_Status","Observed_OTUs","Living with partner","Never married",2.16512006983333e-08,2.16512006983333e-08,TRUE
"Marital_Status","Observed_OTUs","Living with partner","Separated",0.0776378938930794,0.0776378938930794,FALSE
"Marital_Status","Observed_OTUs","Living with partner","Widowed",2.41991127640487e-16,2.41991127640487e-16,TRUE
"Marital_Status","Observed_OTUs","Married","Never married",7.632446852525e-09,7.632446852525e-09,TRUE
"Marital_Status","Observed_OTUs","Married","Separated",6.4133222361783e-06,6.4133222361783e-06,TRUE
"Marital_Status","Observed_OTUs","Married","Widowed",0.000747612908050109,0.000747612908050109,TRUE
"Marital_Status","Observed_OTUs","Never married","Separated",0.0776378938930794,0.0776378938930794,FALSE
"Marital_Status","Observed_OTUs","Never married","Widowed",2.16512006983333e-08,2.16512006983333e-08,TRUE
"Marital_Status","Observed_OTUs","Separated","Widowed",5.76158966787345e-08,5.76158966787345e-08,TRUE
"Marital_Status","Shannon_Diversity","Divorced","Living with partner",3.14648456685623e-13,3.14648456685623e-13,TRUE
"Marital_Status","Shannon_Diversity","Divorced","Married",0.00975708045078325,0.00975708045078325,TRUE
"Marital_Status","Shannon_Diversity","Divorced","Never married",9.75785501348462e-07,9.75785501348462e-07,TRUE
"Marital_Status","Shannon_Diversity","Divorced","Separated",1.35486313190922e-07,1.35486313190922e-07,TRUE
"Marital_Status","Shannon_Diversity","Divorced","Widowed",0.899170062179747,0.899170062179747,FALSE
"Marital_Status","Shannon_Diversity","Living with partner","Married",1.66672399637868e-12,1.66672399637868e-12,TRUE
"Marital_Status","Shannon_Diversity","Living with partner","Never married",7.11507412934645e-05,7.11507412934645e-05,TRUE
"Marital_Status","Shannon_Diversity","Living with partner","Separated",0.899170062179747,0.899170062179747,FALSE
"Marital_Status","Shannon_Diversity","Living with partner","Widowed",1.35486313190922e-07,1.35486313190922e-07,TRUE
"Marital_Status","Shannon_Diversity","Married","Never married",8.61704673672059e-05,8.61704673672059e-05,TRUE
"Marital_Status","Shannon_Diversity","Married","Separated",4.34231046386146e-06,4.34231046386146e-06,TRUE
"Marital_Status","Shannon_Diversity","Married","Widowed",0.0995328750524037,0.0995328750524037,FALSE
"Marital_Status","Shannon_Diversity","Never married","Separated",0.00903692570378397,0.00903692570378397,TRUE
"Marital_Status","Shannon_Diversity","Never married","Widowed",0.00110841624618733,0.00110841624618733,TRUE
"Marital_Status","Shannon_Diversity","Separated","Widowed",1.42131491109173e-05,1.42131491109173e-05,TRUE
"Marital_Status","Inverse_Simpson","Divorced","Living with partner",2.09350647156328e-06,2.09350647156328e-06,TRUE
"Marital_Status","Inverse_Simpson","Divorced","Married",0.0270113062407058,0.0270113062407058,TRUE
"Marital_Status","Inverse_Simpson","Divorced","Never married",0.00990258503106538,0.00990258503106538,TRUE
"Marital_Status","Inverse_Simpson","Divorced","Separated",0.000142928282314762,0.000142928282314762,TRUE
"Marital_Status","Inverse_Simpson","Divorced","Widowed",0.287391020448271,0.287391020448271,FALSE
"Marital_Status","Inverse_Simpson","Living with partner","Married",0.000139004069966795,0.000139004069966795,TRUE
"Marital_Status","Inverse_Simpson","Living with partner","Never married",0.00482413762335696,0.00482413762335696,TRUE
"Marital_Status","Inverse_Simpson","Living with partner","Separated",0.976199967481234,0.976199967481234,FALSE
"Marital_Status","Inverse_Simpson","Living with partner","Widowed",0.0267855235555307,0.0267855235555307,TRUE
"Marital_Status","Inverse_Simpson","Married","Never married",0.40404584419629,0.40404584419629,FALSE
"Marital_Status","Inverse_Simpson","Married","Separated",0.00671652709938519,0.00671652709938519,TRUE
"Marital_Status","Inverse_Simpson","Married","Widowed",0.976199967481234,0.976199967481234,FALSE
"Marital_Status","Inverse_Simpson","Never married","Separated",0.0272550342125565,0.0272550342125565,TRUE
"Marital_Status","Inverse_Simpson","Never married","Widowed",0.663149303344718,0.663149303344718,FALSE
"Marital_Status","Inverse_Simpson","Separated","Widowed",0.0340416329265685,0.0340416329265685,TRUE
"Interview_Language","Observed_OTUs","English","Spanish",4.3626022712837e-34,4.3626022712837e-34,TRUE
"Interview_Language","Shannon_Diversity","English","Spanish",1.32461118143761e-18,1.32461118143761e-18,TRUE
"Interview_Language","Inverse_Simpson","English","Spanish",9.63081219154568e-09,9.63081219154568e-09,TRUE
"Age_group","Observed_OTUs","30-39","18-29",0.825804563018715,0.825804563018715,FALSE
"Age_group","Observed_OTUs","30-39","40-49",4.84563021685682e-05,4.84563021685682e-05,TRUE
"Age_group","Observed_OTUs","30-39","50-59",2.60831856193962e-14,2.60831856193962e-14,TRUE
"Age_group","Observed_OTUs","30-39","60-69",2.79409917226522e-49,2.79409917226522e-49,TRUE
"Age_group","Observed_OTUs","18-29","40-49",3.08824658471894e-06,3.08824658471894e-06,TRUE
"Age_group","Observed_OTUs","18-29","50-59",8.74071744572488e-18,8.74071744572488e-18,TRUE
"Age_group","Observed_OTUs","18-29","60-69",7.12537961287546e-61,7.12537961287546e-61,TRUE
"Age_group","Observed_OTUs","40-49","50-59",0.000232255954981389,0.000232255954981389,TRUE
"Age_group","Observed_OTUs","40-49","60-69",5.07774133591986e-27,5.07774133591986e-27,TRUE
"Age_group","Observed_OTUs","50-59","60-69",3.49046561025338e-12,3.49046561025338e-12,TRUE
"Age_group","Shannon_Diversity","30-39","18-29",0.879570826189653,0.879570826189653,FALSE
"Age_group","Shannon_Diversity","30-39","40-49",0.00566067025806634,0.00566067025806634,TRUE
"Age_group","Shannon_Diversity","30-39","50-59",6.88495834611838e-06,6.88495834611838e-06,TRUE
"Age_group","Shannon_Diversity","30-39","60-69",1.4104589338388e-16,1.4104589338388e-16,TRUE
"Age_group","Shannon_Diversity","18-29","40-49",0.00396391390946698,0.00396391390946698,TRUE
"Age_group","Shannon_Diversity","18-29","50-59",1.11093736432462e-06,1.11093736432462e-06,TRUE
"Age_group","Shannon_Diversity","18-29","60-69",2.29575561392403e-19,2.29575561392403e-19,TRUE
"Age_group","Shannon_Diversity","40-49","50-59",0.0691800779065004,0.0691800779065004,FALSE
"Age_group","Shannon_Diversity","40-49","60-69",3.45729188989256e-08,3.45729188989256e-08,TRUE
"Age_group","Shannon_Diversity","50-59","60-69",0.000183689434302452,0.000183689434302452,TRUE
"Education_level","Observed_OTUs","College/AA","< 9th Grade",2.34128855141649e-08,2.34128855141649e-08,TRUE
"Education_level","Observed_OTUs","College/AA","9-11th Grade",3.12816846828814e-14,3.12816846828814e-14,TRUE
"Education_level","Observed_OTUs","College/AA","High School",1.24650218056793e-08,1.24650218056793e-08,TRUE
"Education_level","Observed_OTUs","College/AA","College Graduate",2.52418436312994e-09,2.52418436312994e-09,TRUE
"Education_level","Observed_OTUs","< 9th Grade","9-11th Grade",0.397010793859948,0.397010793859948,FALSE
"Education_level","Observed_OTUs","< 9th Grade","High School",0.211332131591114,0.211332131591114,FALSE
"Education_level","Observed_OTUs","< 9th Grade","College Graduate",2.8917184370292e-21,2.8917184370292e-21,TRUE
"Education_level","Observed_OTUs","9-11th Grade","High School",0.0129709906296668,0.0129709906296668,TRUE
